rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.000140515,0.23568,5,10,7065.8,1e-07,0.033,0.001,12.3745
2,1,0.0151492,0.268721,5,10,7071.56,1e-07,0.033,0.001,7.85619
3,1,0.000247437,0.216156,5,10,7301.47,1e-07,0.033,0.001,13.9989
4,1,8.99316e-05,0.229792,5,10,7189.92,1e-07,0.033,0.001,13.9999
5,1,5.55812e-05,0.257586,5,10,6987.35,1e-07,0.033,0.001,14
6,1,5.55335e-05,0.274549,5,10,6854.07,1e-07,0.033,0.001,13.994
7,1,7.67871e-05,0.239653,5,10,7519.11,1e-07,0.033,0.001,13.9996
8,1,0.000179397,0.23188,5,10,8032.39,1e-07,0.033,0.001,13.8247
9,1,0.000162154,0.217988,5,10,6977.37,1e-07,0.033,0.001,13.9983
10,1,0.000844204,0.26454,5,10,6766.58,1e-07,0.033,0.001,9.86583
1,2,0.0122226,0.458805,5,10,7621.01,1e-07,0.033,0.001,13.9861
2,2,0.0055601,0.453348,5,10,7091.61,1e-07,0.033,0.001,13.9997
3,2,0.0187679,0.453624,5,10,7866.37,1e-07,0.033,0.001,13.8768
4,2,0.208469,0.442224,5,10,7124.69,1e-07,0.033,0.001,13.9999
5,2,0.00239677,0.445845,5,10,7458.1,1e-07,0.033,0.001,13.9998
6,2,0.00630311,0.451705,5,10,7419.45,1e-07,0.033,0.001,14
7,2,2.60367,0.451427,5,10,6574.8,1e-07,0.033,0.001,13.9999
8,2,0.000783963,0.46682,5,10,7851.02,1e-07,0.033,0.001,13.9995
9,2,0.10398,0.44859,5,10,7049.45,1e-07,0.033,0.001,13.995
10,2,0.0150799,0.441579,5,10,8182.62,1e-07,0.033,0.001,13.9996
1,3,0.000254439,0.310906,5,10,6849.21,1e-07,0.033,0.001,1.41863
2,3,0.000246027,0.309116,5,10,7389.2,1e-07,0.033,0.001,1.1507
3,3,0.000246898,0.309114,5,10,7136.83,1e-07,0.033,0.001,1.36295
4,3,0.000278044,0.309052,5,10,6697.31,1e-07,0.033,0.001,1.31907
5,3,0.000221378,0.308572,5,10,7597.47,1e-07,0.033,0.001,1.22137
6,3,0.000419371,0.300144,5,10,6166.57,1e-07,0.033,0.001,1.41693
7,3,0.000622523,0.303979,5,10,6424.06,1e-07,0.033,0.001,1.05809
8,3,0.000148161,0.317272,5,10,7154.96,1e-07,0.033,0.001,1.83269
9,3,0.00019824,0.316661,5,10,7705.76,1e-07,0.033,0.001,1.32112
10,3,0.000222612,0.307571,5,10,7433.56,1e-07,0.033,0.001,1.35566
