rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.91259,-0.312709,0,0,-0.0139852,0,0,0,-1.3337
2,1,0.186142,-0.261445,0,0,-0.0190327,0,0,0,4.21456
3,1,0.809102,-0.344385,0,0,0.0143963,0,0,0,6.87549
4,1,1.46264,-0.332457,0,0,-0.180561,0,0,0,-1.54946
5,1,0.230484,-0.251183,0,0,-0.0404195,0,0,0,12.6536
6,1,0.623447,-0.279689,0,0,-0.0908994,0,0,0,0.849175
7,1,1.67911,-0.413768,0,0,0.0875282,0,0,0,3.35715
8,1,1.34825,-0.316424,0,0,0.108195,0,0,0,-1.27839
9,1,0.662184,-0.300765,0,0,-0.0317314,0,0,0,7.59199
10,1,-0.191263,-0.140347,0,0,0.00257511,0,0,0,8.13809
1,2,5.50904,0.347269,0,0,0.0963806,0,0,0,4.61888
2,2,5.156,0.341924,0,0,-0.0122594,0,0,0,3.62105
3,2,7.37345,0.325722,0,0,0.0912558,0,0,0,1.34606
4,2,3.29545,0.32454,0,0,-0.0284123,0,0,0,7.73863
5,2,4.34227,0.317332,0,0,0.0508132,0,0,0,2.00366
6,2,5.20839,0.322925,0,0,0.00511481,0,0,0,2.22988
7,2,10.7494,0.337463,0,0,0.00323306,0,0,0,5.98673
8,2,3.58841,0.344041,0,0,0.1514,0,0,0,4.92766
9,2,6.05248,0.287993,0,0,0.00251356,0,0,0,1.12466
10,2,5.73569,0.325191,0,0,0.119719,0,0,0,9.21965
1,3,2.08003,-0.0771056,0,0,-0.0921011,0,0,0,-6.15056
2,3,1.70658,-0.055123,0,0,-0.000791634,0,0,0,-6.10037
3,3,2.38514,-0.056916,0,0,-0.0964321,0,0,0,-6.13091
4,3,1.89381,-0.0566567,0,0,-0.0256508,0,0,0,-6.11671
5,3,1.91213,-0.0922831,0,0,-0.114429,0,0,0,-5.93659
6,3,1.99478,-0.0981844,0,0,-0.124712,0,0,0,-5.94843
7,3,2.05703,-0.0467113,0,0,-0.11376,0,0,0,-6.08109
8,3,1.30912,-0.0174937,0,0,0.0261281,0,0,0,-5.89727
9,3,1.58639,-0.0361442,0,0,0.0539541,0,0,0,-6.15394
10,3,1.89869,-0.0649461,0,0,0.000945565,0,0,0,-6.15485
