rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,4.93e-05,2.38781,5,10,16758.9,1e-07,0.033,0.001,13.9981
2,1,4.93e-05,2.75801,5,10,19916.1,1e-07,0.033,0.001,13.354
3,1,4.93e-05,2.51723,5,10,17915,1e-07,0.033,0.001,13.9024
4,1,4.93e-05,3.695,5,10,29039.4,1e-07,0.033,0.001,13.0841
5,1,4.93e-05,2.7475,5,10,19725.6,1e-07,0.033,0.001,13.8295
6,1,4.93e-05,2.88934,5,10,21540.8,1e-07,0.033,0.001,12.9128
7,1,4.93e-05,2.53496,5,10,18222.1,1e-07,0.033,0.001,13.4374
8,1,4.93e-05,2.66855,5,10,19052.4,1e-07,0.033,0.001,13.9982
9,1,4.93e-05,2.63962,5,10,18838.7,1e-07,0.033,0.001,13.8256
10,1,4.93e-05,2.09503,5,10,14862.2,1e-07,0.033,0.001,13.9773
1,2,4.93e-05,0.669061,5,10,34087.4,1e-07,0.033,0.001,13.9648
2,2,4.93e-05,0.656955,5,10,39232.9,1e-07,0.033,0.001,13.9818
3,2,4.93e-05,0.683097,5,10,40947.4,1e-07,0.033,0.001,13.9977
4,2,4.93e-05,0.671202,5,10,27579.1,1e-07,0.033,0.001,13.9883
5,2,4.93e-05,0.665608,5,10,38569.7,1e-07,0.033,0.001,13.9792
6,2,4.93e-05,0.668372,5,10,44348.2,1e-07,0.033,0.001,13.9451
7,2,4.93e-05,0.669475,5,10,36404.2,1e-07,0.033,0.001,13.7915
8,2,4.93e-05,0.675941,5,10,32595.4,1e-07,0.033,0.001,13.8996
9,2,4.93e-05,0.672659,5,10,47402.3,1e-07,0.033,0.001,13.8231
10,2,4.93e-05,0.68306,5,10,45968.3,1e-07,0.033,0.001,13.9713
1,3,4.93e-05,0.58204,5,10,37085,1e-07,0.033,0.001,11.4912
2,3,4.93e-05,0.530651,5,10,17152.5,1e-07,0.033,0.001,13.9846
3,3,4.93e-05,0.55988,5,10,11066.8,1e-07,0.033,0.001,13.9667
4,3,4.93e-05,0.526441,5,10,16500.3,1e-07,0.033,0.001,13.7995
5,3,4.93e-05,0.557185,5,10,26472.1,1e-07,0.033,0.001,12.5615
6,3,4.93e-05,0.530332,5,10,20043.9,1e-07,0.033,0.001,13.9151
7,3,4.93e-05,0.521363,5,10,26401.7,1e-07,0.033,0.001,13.9997
8,3,4.93e-05,0.535271,5,10,50118,1e-07,0.033,0.001,13.8163
9,3,4.93e-05,0.544713,5,10,17973.3,1e-07,0.033,0.001,13.9089
10,3,4.93e-05,0.593366,5,10,9165.12,1e-07,0.033,0.001,13.9228
1,4,4.93e-05,2.20299,5,10,15151.1,1e-07,0.033,0.001,13.7295
2,4,4.93e-05,3.13744,5,10,22278.6,1e-07,0.033,0.001,13.9697
3,4,4.93e-05,5.48077,5,10,50718.9,1e-07,0.033,0.001,13.3255
4,4,4.93e-05,1.4781,5,10,10702.8,1e-07,0.033,0.001,13.9808
5,4,4.93e-05,3.99492,5,10,30942.2,1e-07,0.033,0.001,13.9922
6,4,4.93e-05,3.27217,5,10,23546.3,1e-07,0.033,0.001,13.9068
7,4,4.93e-05,4.69235,5,10,39398,1e-07,0.033,0.001,13.9986
8,4,4.93e-05,3.39047,5,10,24522.6,1e-07,0.033,0.001,13.9843
9,4,4.93e-05,3.8987,5,10,29964.5,1e-07,0.033,0.001,13.9607
10,4,4.93e-05,2.63872,5,10,18031.3,1e-07,0.033,0.001,13.9084
