rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0,0.701632,0,0,-0.160845,0,0,0,-1.90193
2,1,0,0.783189,0,0,-0.0741722,0,0,0,-0.756364
3,1,0,0.377031,0,0,-0.426496,0,0,0,2.40779
4,1,0,1.1181,0,0,0.308078,0,0,0,-1.54614
5,1,0,0.729568,0,0,-0.128071,0,0,0,-4.5261
6,1,0,1.09033,0,0,0.267221,0,0,0,4.76639
7,1,0,0.879386,0,0,0.024585,0,0,0,-4.3305
8,1,0,1.48267,0,0,0.826909,0,0,0,-1.56799
9,1,0,1.04525,0,0,0.217583,0,0,0,-4.05232
10,1,0,0.586002,0,0,-0.263994,0,0,0,-4.57202
1,2,0,-0.412153,0,0,0.565572,0,0,0,-1.44155
2,2,0,-0.398579,0,0,0.622778,0,0,0,-2.70863
3,2,0,-0.43196,0,0,0.671882,0,0,0,4.05813
4,2,0,-0.40547,0,0,0.728013,0,0,0,3.36839
5,2,0,-0.403151,0,0,0.757712,0,0,0,-2.51736
6,2,0,-0.423699,0,0,0.641789,0,0,0,1.15768
7,2,0,-0.413561,0,0,0.841552,0,0,0,-3.14388
8,2,0,-0.433166,0,0,0.902128,0,0,0,2.72112
9,2,0,-0.421292,0,0,1.07777,0,0,0,7.81311
10,2,0,-0.401186,0,0,0.671924,0,0,0,1.52315
1,3,0,-0.59453,0,0,-0.482446,0,0,0,4.19181
2,3,0,-0.613855,0,0,-0.133652,0,0,0,-2.63685
3,3,0,-0.572645,0,0,-0.414759,0,0,0,1.80308
4,3,0,-0.542171,0,0,-0.61998,0,0,0,0.268309
5,3,0,-0.699817,0,0,0.692865,0,0,0,-2.47745
6,3,0,-0.12279,0,0,-0.821516,0,0,0,3.02757
7,3,0,-0.373197,0,0,-0.702927,0,0,0,1.62688
8,3,0,-0.65321,0,0,0.0339938,0,0,0,-5.32524
9,3,0,-0.658952,0,0,0.215074,0,0,0,-0.952115
10,3,0,-0.601917,0,0,-0.378564,0,0,0,-1.41475
1,4,0,0.792359,0,0,-0.128881,0,0,0,-1.84253
2,4,0,0.720681,0,0,-0.194535,0,0,0,-2.25132
3,4,0,0.117645,0,0,-0.5901,0,0,0,1.79966
4,4,0,-0.25256,0,0,-0.701288,0,0,0,1.19547
5,4,0,0.897375,0,0,0.0845536,0,0,0,-7.7533
6,4,0,0.248568,0,0,-0.544869,0,0,0,-1.41762
7,4,0,0.758771,0,0,-0.150678,0,0,0,1.07043
8,4,0,-0.0179971,0,0,-0.702683,0,0,0,-2.26194
9,4,0,1.05873,0,0,0.217812,0,0,0,-1.93358
10,4,0,0.508744,0,0,-0.35858,0,0,0,1.848
