rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.000298544,0.247255,5,10,6743.26,1e-07,0.033,0.001,11.6436
2,1,5.40161e-05,0.257289,5,10,6687.44,1e-07,0.033,0.001,13.8534
3,1,0.00139237,0.210044,5,10,7695.63,1e-07,0.033,0.001,13.6725
4,1,0.000130375,0.222902,5,10,6451.56,1e-07,0.033,0.001,13.9991
5,1,7.78253e-05,0.244802,5,10,6452.09,1e-07,0.033,0.001,13.9999
6,1,8.37409e-05,0.253758,5,10,6238.46,1e-07,0.033,0.001,13.7188
7,1,0.000127861,0.230007,5,10,7818.82,1e-07,0.033,0.001,13.9464
8,1,0.000115178,0.241819,5,10,7526.26,1e-07,0.033,0.001,13.2519
9,1,6.36652e-05,0.252506,5,10,6480.25,1e-07,0.033,0.001,13.9997
10,1,0.00835524,0.262172,5,10,6053.96,1e-07,0.033,0.001,9.52921
1,2,0.172994,0.446592,5,10,7045.14,1e-07,0.033,0.001,13.9958
2,2,0.00868679,0.450934,5,10,6557.91,1e-07,0.033,0.001,13.9826
3,2,0.0220365,0.44312,5,10,7533.46,1e-07,0.033,0.001,13.9408
4,2,0.00380142,0.430661,5,10,7267.97,1e-07,0.033,0.001,13.9883
5,2,0.00156993,0.441385,5,10,7130.88,1e-07,0.033,0.001,13.9795
6,2,0.00263553,0.448851,5,10,6758.93,1e-07,0.033,0.001,14
7,2,0.511557,0.458013,5,10,6620.63,1e-07,0.033,0.001,13.9979
8,2,0.00110288,0.457212,5,10,7947.57,1e-07,0.033,0.001,13.9997
9,2,0.0270403,0.431199,5,10,7346.45,1e-07,0.033,0.001,13.9553
10,2,0.0120729,0.45306,5,10,7429.18,1e-07,0.033,0.001,13.9989
1,3,0.000243413,0.308839,5,10,6530.14,1e-07,0.033,0.001,1.28307
2,3,0.000134399,0.318789,5,10,7500.68,1e-07,0.033,0.001,1.33598
3,3,0.000211184,0.304939,5,10,6586.56,1e-07,0.033,0.001,1.44321
4,3,0.000256906,0.309368,5,10,6296.83,1e-07,0.033,0.001,1.36987
5,3,0.000187392,0.302611,5,10,6939.74,1e-07,0.033,0.001,1.34246
6,3,0.000317257,0.295893,5,10,5923.29,1e-07,0.033,0.001,1.46938
7,3,0.000172826,0.310591,5,10,6525.38,1e-07,0.033,0.001,1.63656
8,3,0.000145698,0.323218,5,10,7534.66,1e-07,0.033,0.001,1.35223
9,3,0.000285161,0.311964,5,10,6653.86,1e-07,0.033,0.001,1.1781
10,3,0.00023697,0.311126,5,10,7050.06,1e-07,0.033,0.001,1.17968
