rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,4.72364,-0.296071,0,0,-0.0398314,0,0,0,-2.09279
2,1,0.225427,-0.211803,0,0,-0.0609271,0,0,0,-0.163969
3,1,2.42761,-0.365687,0,0,0.261401,0,0,0,-1.28645
4,1,3.96705,-0.245872,0,0,-0.00834813,0,0,0,-2.90966
5,1,0.498479,-0.205895,0,0,0.0528082,0,0,0,-1.85314
6,1,0.674951,-0.280004,0,0,-0.159927,0,0,0,1.92619
7,1,1.45215,-0.375472,0,0,-0.232113,0,0,0,4.62034
8,1,3.24873,-0.389794,0,0,0.157375,0,0,0,-1.11477
9,1,0.741962,-0.303648,0,0,-0.0112254,0,0,0,9.73027
10,1,0.367613,-0.232071,0,0,-0.0506846,0,0,0,5.30564
1,2,8.59804,0.300774,0,0,0.189597,0,0,0,6.18796
2,2,4.41592,0.338072,0,0,0.0157754,0,0,0,1.56377
3,2,6.07025,0.337115,0,0,0.153919,0,0,0,1.28531
4,2,3.04712,0.326121,0,0,-0.0274451,0,0,0,11.0521
5,2,3.75602,0.319502,0,0,0.0587077,0,0,0,1.88521
6,2,4.69297,0.338722,0,0,0.23309,0,0,0,1.29697
7,2,12.4377,0.339941,0,0,-0.0307023,0,0,0,5.79962
8,2,3.7954,0.352518,0,0,0.223202,0,0,0,5.72542
9,2,6.30887,0.326826,0,0,0.000648002,0,0,0,1.11299
10,2,3.94132,0.332301,0,0,0.107658,0,0,0,8.47051
1,3,2.36703,-0.0841537,0,0,-0.175732,0,0,0,-6.02878
2,3,1.74023,-0.0393051,0,0,0.0131224,0,0,0,-6.17466
3,3,1.35281,-0.029938,0,0,-0.00278337,0,0,0,-5.86512
4,3,1.69073,-0.0561214,0,0,-0.109719,0,0,0,-5.88752
5,3,1.94013,-0.0750752,0,0,-0.190081,0,0,0,-5.82949
6,3,1.81424,-0.100419,0,0,-0.231789,0,0,0,-5.59257
7,3,2.4464,-0.0707983,0,0,-0.188144,0,0,0,-5.97728
8,3,2.13049,-0.0364115,0,0,-0.0136678,0,0,0,-6.40813
9,3,2.57756,-0.0640757,0,0,-0.231009,0,0,0,-5.93688
10,3,1.90067,-0.058177,0,0,-0.00523835,0,0,0,-6.10899
