rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,4.93e-05,3.08,5,10,13152.6,1e-07,0.033,0.001,14
2,1,4.93e-05,6.17966,5,10,22968,1e-07,0.033,0.001,14
3,1,4.93e-05,4.55038,5,10,17760.9,1e-07,0.033,0.001,14
4,1,4.93e-05,2.12252,5,10,10410.7,1e-07,0.033,0.001,14
5,1,4.93e-05,4.00671,5,10,16072.5,1e-07,0.033,0.001,14
6,1,4.93e-05,5.02835,5,10,19244.9,1e-07,0.033,0.001,14
7,1,4.93e-05,1.91834,5,10,9696.62,1e-07,0.033,0.001,14
8,1,4.93e-05,2.9095,5,10,12656.7,1e-07,0.033,0.001,14
9,1,4.93e-05,5.89746,5,10,21867.8,1e-07,0.033,0.001,14
10,1,4.93e-05,3.46974,5,10,14356.5,1e-07,0.033,0.001,14
1,2,4.93e-05,0.672576,5,10,30169.7,1e-07,0.033,0.001,14
2,2,4.93e-05,0.683366,5,10,22956.1,1e-07,0.033,0.001,14
3,2,4.93e-05,0.667542,5,10,39602.3,1e-07,0.033,0.001,14
4,2,4.93e-05,0.672566,5,10,65831.3,1e-07,0.033,0.001,14
5,2,4.93e-05,0.667717,5,10,34488.8,1e-07,0.033,0.001,14
6,2,4.93e-05,0.671423,5,10,39512.5,1e-07,0.033,0.001,14
7,2,4.93e-05,0.667273,5,10,36460.6,1e-07,0.033,0.001,14
8,2,4.93e-05,0.666328,5,10,31474.2,1e-07,0.033,0.001,14
9,2,4.93e-05,0.674449,5,10,44806.3,1e-07,0.033,0.001,14
10,2,4.93e-05,0.675035,5,10,29140,1e-07,0.033,0.001,14
1,3,4.93e-05,0.519721,5,10,20617.6,1e-07,0.033,0.001,14
2,3,4.93e-05,0.524011,5,10,25551.1,1e-07,0.033,0.001,14
3,3,4.93e-05,0.5375,5,10,15505.4,1e-07,0.033,0.001,14
4,3,4.93e-05,0.525566,5,10,27640.3,1e-07,0.033,0.001,14
5,3,4.93e-05,0.527221,5,10,24218.5,1e-07,0.033,0.001,14
6,3,4.93e-05,0.519169,5,10,16429.4,1e-07,0.033,0.001,14
7,3,4.93e-05,0.544564,5,10,12400.7,1e-07,0.033,0.001,14
8,3,4.93e-05,0.522033,5,10,15502.3,1e-07,0.033,0.001,14
9,3,4.93e-05,0.549115,5,10,12947.6,1e-07,0.033,0.001,14
10,3,4.93e-05,0.647775,5,10,8476.27,1e-07,0.033,0.001,14
1,4,4.93e-05,6.12394,5,10,22186.4,1e-07,0.033,0.001,14
2,4,4.93e-05,1.89608,5,10,9190.61,1e-07,0.033,0.001,14
3,4,4.93e-05,6.53741,5,10,23368,1e-07,0.033,0.001,14
4,4,4.93e-05,2.05404,5,10,9675.26,1e-07,0.033,0.001,14
5,4,4.93e-05,3.69812,5,10,14457,1e-07,0.033,0.001,14
6,4,4.93e-05,3.39948,5,10,13782.3,1e-07,0.033,0.001,14
7,4,4.93e-05,5.26041,5,10,19549.2,1e-07,0.033,0.001,14
8,4,4.93e-05,3.20451,5,10,13041.8,1e-07,0.033,0.001,14
9,4,4.93e-05,5.17708,5,10,19065.8,1e-07,0.033,0.001,14
10,4,4.93e-05,3.68066,5,10,14691.2,1e-07,0.033,0.001,14
