rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0,0.734113,0,0,-0.296833,0,0,0,-3.42369
2,1,0,1.43045,0,0,0.260647,0,0,0,-2.10319
3,1,0,1.12439,0,0,0.00354246,0,0,0,-1.02547
4,1,0,0.361789,0,0,-0.530622,0,0,0,-4.478
5,1,0,0.997154,0,0,-0.0963462,0,0,0,0.366047
6,1,0,1.22427,0,0,0.0837931,0,0,0,-2.53409
7,1,0,0.26064,0,0,-0.601678,0,0,0,6.24338
8,1,0,0.677163,0,0,-0.335266,0,0,0,6.23222
9,1,0,1.3837,0,0,0.211559,0,0,0,1.11566
10,1,0,0.853261,0,0,-0.20925,0,0,0,-1.9534
1,2,0,-0.787457,0,0,0.533383,0,0,0,-0.490692
2,2,0,-0.771542,0,0,0.26013,0,0,0,1.00456
3,2,0,-0.794971,0,0,0.805433,0,0,0,1.48604
4,2,0,-0.787472,0,0,1.31364,0,0,0,-0.0749638
5,2,0,-0.794708,0,0,0.66718,0,0,0,0.217798
6,2,0,-0.789173,0,0,0.803161,0,0,0,-0.543489
7,2,0,-0.795373,0,0,0.722777,0,0,0,-6.28574
8,2,0,-0.79679,0,0,0.575711,0,0,0,4.17564
9,2,0,-0.784676,0,0,0.928894,0,0,0,-2.02301
10,2,0,-0.783807,0,0,0.498656,0,0,0,-3.03481
1,3,0,-1.04528,0,0,0.152689,0,0,0,-2.24642
2,3,0,-1.03706,0,0,0.367224,0,0,0,-2.1782
3,3,0,-1.01164,0,0,-0.132267,0,0,0,-2.04062
4,3,0,-1.0341,0,0,0.445819,0,0,0,-4.43482
5,3,0,-1.03095,0,0,0.313663,0,0,0,4.79384
6,3,0,-1.04634,0,0,-0.0743835,0,0,0,-0.294952
7,3,0,-0.998587,0,0,-0.355702,0,0,0,-0.861232
8,3,0,-1.04084,0,0,-0.13247,0,0,0,0.142718
9,3,0,-0.990265,0,0,-0.312548,0,0,0,2.86663
10,3,0,-0.82503,0,0,-0.736184,0,0,0,5.41921
1,4,0,1.42139,0,0,0.226026,0,0,0,-2.01251
2,4,0,0.24897,0,0,-0.655273,0,0,0,-2.10083
3,4,0,1.48672,0,0,0.277914,0,0,0,-1.83483
4,4,0,0.32899,0,0,-0.603883,0,0,0,-3.76992
5,4,0,0.917007,0,0,-0.202274,0,0,0,-2.52922
6,4,0,0.832805,0,0,-0.25007,0,0,0,4.69175
7,4,0,1.26939,0,0,0.0994796,0,0,0,0.332257
8,4,0,0.773742,0,0,-0.305297,0,0,0,-1.93787
9,4,0,1.25342,0,0,0.0744412,0,0,0,-2.93206
10,4,0,0.912274,0,0,-0.186206,0,0,0,-0.172623
