rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,6.91918e-05,0.276221,5,10,6308.35,1e-07,0.033,0.001,12.7104
2,1,5.28475e-05,0.264748,5,10,7787.88,1e-07,0.033,0.001,13.9931
3,1,8.86296e-05,0.23557,5,10,7205.71,1e-07,0.033,0.001,13.9781
4,1,0.0108423,0.266129,5,10,7175.4,1e-07,0.033,0.001,7.70185
5,1,0.0108874,0.245165,5,10,6998.74,1e-07,0.033,0.001,9.70847
6,1,0.000316736,0.27052,5,10,8091.04,1e-07,0.033,0.001,10.3177
7,1,5.6919e-05,0.262671,5,10,6081.82,1e-07,0.033,0.001,13.9999
8,1,0.00218576,0.260519,5,10,7113.67,1e-07,0.033,0.001,9.33539
9,1,7.50332e-05,0.250104,5,10,7236.13,1e-07,0.033,0.001,13.9998
10,1,7.63284e-05,0.268299,5,10,7304.97,1e-07,0.033,0.001,12.5699
1,2,0.0226734,0.443121,5,10,6731.41,1e-07,0.033,0.001,13.9994
2,2,0.00141971,0.454229,5,10,8852.83,1e-07,0.033,0.001,13.9323
3,2,0.0186876,0.454419,5,10,7398.42,1e-07,0.033,0.001,13.9949
4,2,0.00519692,0.465433,5,10,8264.36,1e-07,0.033,0.001,13.9801
5,2,0.0029519,0.44378,5,10,9484.87,1e-07,0.033,0.001,14
6,2,0.0128094,0.442764,5,10,7787.65,1e-07,0.033,0.001,13.9973
7,2,0.0021806,0.451543,5,10,8460,1e-07,0.033,0.001,13.9999
8,2,0.00481954,0.447577,5,10,9617.85,1e-07,0.033,0.001,13.8324
9,2,0.013589,0.461598,5,10,4823.49,1e-07,0.033,0.001,13.9456
10,2,0.129748,0.441654,5,10,7011.92,1e-07,0.033,0.001,13.9997
1,3,0.000186452,0.320387,5,10,7407.29,1e-07,0.033,0.001,1.407
2,3,0.000255585,0.314913,5,10,6928.3,1e-07,0.033,0.001,1.56447
3,3,0.000380175,0.307401,5,10,6482,1e-07,0.033,0.001,1.48288
4,3,0.000494228,0.314403,5,10,6460.45,1e-07,0.033,0.001,1.25912
5,3,0.000198552,0.311605,5,10,7366.37,1e-07,0.033,0.001,1.45562
6,3,0.000181088,0.311341,5,10,6870.3,1e-07,0.033,0.001,1.85493
7,3,0.000351032,0.305092,5,10,6310.43,1e-07,0.033,0.001,1.51143
8,3,0.000259549,0.310321,5,10,6925.61,1e-07,0.033,0.001,1.41856
9,3,0.000831787,0.301679,5,10,6112.61,1e-07,0.033,0.001,1.33285
10,3,0.000362249,0.305885,5,10,6892.32,1e-07,0.033,0.001,1.29865
