rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.338958,-0.162877,0,0,-0.116661,0,0,0,-1.93029
2,1,0.0694867,-0.205299,0,0,0.0940326,0,0,0,3.39471
3,1,0.586542,-0.322068,0,0,0.0163378,0,0,0,2.24062
4,1,5.39329,-0.200097,0,0,0.0121235,0,0,0,-4.0172
5,1,5.39743,-0.282147,0,0,-0.0128049,0,0,0,-3.40203
6,1,1.86014,-0.183733,0,0,0.132222,0,0,0,-3.18805
7,1,0.143704,-0.213176,0,0,-0.153232,0,0,0,7.77969
8,1,3.7918,-0.221401,0,0,0.0034823,0,0,0,-3.52458
9,1,0.420007,-0.262201,0,0,0.0205513,0,0,0,6.80816
10,1,0.43712,-0.191975,0,0,0.0300191,0,0,0,-2.04483
1,2,6.13102,0.309766,0,0,-0.0517511,0,0,0,5.91658
2,2,3.36029,0.334523,0,0,0.222202,0,0,0,1.10884
3,2,5.93769,0.334943,0,0,0.0427316,0,0,0,3.68954
4,2,4.6579,0.358891,0,0,0.153417,0,0,0,2.33644
5,2,4.09228,0.311251,0,0,0.291163,0,0,0,11.5355
6,2,5.56001,0.30896,0,0,0.0940035,0,0,0,4.33306
7,2,3.78943,0.328593,0,0,0.176813,0,0,0,8.07605
8,2,4.58251,0.319771,0,0,0.305085,0,0,0,0.194915
9,2,5.61909,0.350617,0,0,-0.385037,0,0,0,1.32879
10,2,7.87542,0.30645,0,0,-0.010924,0,0,0,6.71079
1,3,1.33025,-0.0145469,0,0,0.043929,0,0,0,-6.41068
2,3,1.64563,-0.0317808,0,0,-0.0229216,0,0,0,-6.29193
3,3,2.04271,-0.0559235,0,0,-0.0895066,0,0,0,-6.35206
4,3,2.30507,-0.0334024,0,0,-0.0928371,0,0,0,-6.53348
5,3,1.39313,-0.0423405,0,0,0.03839,0,0,0,-6.37281
6,3,1.30106,-0.0431886,0,0,-0.0313277,0,0,0,-6.0979
7,3,1.96295,-0.0634646,0,0,-0.116332,0,0,0,-6.3307
8,3,1.66102,-0.0464713,0,0,-0.0233087,0,0,0,-6.40157
9,3,2.82565,-0.0747145,0,0,-0.148182,0,0,0,-6.47072
10,3,1.99441,-0.0608685,0,0,-0.0281274,0,0,0,-6.49943
