rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.0138401,-0.24958,0,0,-0.0157127,0,0,0,-0.200205
2,1,0.848538,-0.379034,0,0,0.0231744,0,0,0,6.61574
3,1,1.06463,-0.261056,0,0,0.0174358,0,0,0,-1.67701
4,1,0.0384092,-0.231238,0,0,-0.00852308,0,0,0,4.33074
5,1,1.42866,-0.282407,0,0,-0.0318197,0,0,0,-2.31774
6,1,1.97571,-0.241145,0,0,0.041606,0,0,0,-2.40756
7,1,0.228403,-0.171171,0,0,-0.0197159,0,0,0,-1.64315
8,1,-0.0833172,-0.222031,0,0,0.0327047,0,0,0,1.72046
9,1,-0.0698727,-0.174246,0,0,-0.00389415,0,0,0,1.87804
10,1,0.934082,-0.403685,0,0,-0.0496217,0,0,0,-1.04667
1,2,4.13549,0.311424,0,0,0.00181616,0,0,0,1.47996
2,2,2.64609,0.320141,0,0,0.0196818,0,0,0,1.89558
3,2,6.56021,0.2754,0,0,0.0096367,0,0,0,1.02779
4,2,6.64959,0.293556,0,0,0.0207246,0,0,0,2.44177
5,2,3.00068,0.312984,0,0,0.0278256,0,0,0,1.85006
6,2,3.75132,0.300487,0,0,0.0281099,0,0,0,4.0531
7,2,3.3432,0.313715,0,0,-0.0138191,0,0,0,1.71735
8,2,4.81486,0.291012,0,0,-0.0378503,0,0,0,1.669
9,2,3.27832,0.294002,0,0,-0.00281633,0,0,0,1.0204
10,2,2.84768,0.274748,0,0,-0.00609227,0,0,0,7.06539
1,3,1.25025,-0.0508623,0,0,-0.0201133,0,0,0,-5.82352
2,3,1.38177,-0.0397634,0,0,0.0143454,0,0,0,-6.03245
3,3,1.02352,-0.0449946,0,0,-0.0156824,0,0,0,-5.56894
4,3,1.10215,-0.0504963,0,0,-0.0168429,0,0,0,-5.69514
5,3,1.05425,-0.0352788,0,0,-0.0362005,0,0,0,-5.64018
6,3,1.09583,-0.0511505,0,0,-0.0110407,0,0,0,-5.73635
7,3,0.812502,-0.0199192,0,0,0.0105552,0,0,0,-5.47382
8,3,1.34947,-0.0376453,0,0,-0.0376973,0,0,0,-6.00855
9,3,0.842321,-0.0239094,0,0,0.0176414,0,0,0,-5.57683
10,3,0.903731,-0.0325283,0,0,0.0341769,0,0,0,-5.62654
