rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,4.98871e-05,0.265149,5,10,6747.32,1e-07,0.033,0.001,13.2155
2,1,0.00166956,0.248568,5,10,6858.28,1e-07,0.033,0.001,8.55658
3,1,4.55629e-05,0.259909,5,10,6579.06,1e-07,0.033,0.001,13.9987
4,1,4.75493e-05,0.265602,5,10,6945.52,1e-07,0.033,0.001,13.9966
5,1,5.32977e-05,0.255677,5,10,6531.17,1e-07,0.033,0.001,13.7492
6,1,0.000100119,0.247828,5,10,7348.06,1e-07,0.033,0.001,11.9191
7,1,6.18249e-05,0.27148,5,10,6690.17,1e-07,0.033,0.001,12.3861
8,1,0.000130113,0.223335,5,10,7172.55,1e-07,0.033,0.001,13.586
9,1,4.71164e-05,0.269899,5,10,6680.07,1e-07,0.033,0.001,13.9531
10,1,0.00561736,0.191498,5,10,6322.9,1e-07,0.033,0.001,13.6375
1,2,0.00267406,0.444752,5,10,6894.91,1e-07,0.033,0.001,13.8416
2,2,0.00160957,0.44514,5,10,7088.41,1e-07,0.033,0.001,13.9799
3,2,0.00793508,0.428771,5,10,7163.83,1e-07,0.033,0.001,13.8201
4,2,0.228277,0.4346,5,10,7081.97,1e-07,0.033,0.001,13.9637
5,2,0.00164554,0.440357,5,10,6569.24,1e-07,0.033,0.001,13.9699
6,2,0.00418009,0.438733,5,10,7157.75,1e-07,0.033,0.001,13.9984
7,2,0.00113654,0.451841,5,10,6851.74,1e-07,0.033,0.001,13.8422
8,2,0.000622865,0.438068,5,10,6770.17,1e-07,0.033,0.001,13.9866
9,2,0.00131764,0.436733,5,10,6862.85,1e-07,0.033,0.001,13.9059
10,2,0.00201821,0.424162,5,10,6458.97,1e-07,0.033,0.001,13.9997
1,3,0.000182195,0.304343,5,10,6742.84,1e-07,0.033,0.001,1.22306
2,3,0.000161007,0.308664,5,10,6716.89,1e-07,0.033,0.001,1.29975
3,3,0.000147825,0.308561,5,10,6852.67,1e-07,0.033,0.001,1.38309
4,3,0.000166192,0.309087,5,10,6466.28,1e-07,0.033,0.001,1.46763
5,3,0.000155949,0.312057,5,10,6657.92,1e-07,0.033,0.001,1.38478
6,3,0.00018276,0.30632,5,10,6697.09,1e-07,0.033,0.001,1.16722
7,3,0.000152866,0.312798,5,10,6680.76,1e-07,0.033,0.001,1.43872
8,3,0.000179743,0.313854,5,10,6685.95,1e-07,0.033,0.001,1.08993
9,3,0.000107269,0.318709,5,10,7380.48,1e-07,0.033,0.001,1.515
10,3,0.000127278,0.310277,5,10,6712.75,1e-07,0.033,0.001,1.73088
