rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,5.92558e-05,0.249733,5,10,7043.5,1e-07,0.033,0.001,13.8602
2,1,0.000402975,0.257872,5,10,7041.62,1e-07,0.033,0.001,10.3143
3,1,5.70548e-05,0.242866,5,10,7043.13,1e-07,0.033,0.001,13.9996
4,1,0.0100737,0.238493,5,10,7042.58,1e-07,0.033,0.001,10.0014
5,1,0.000376545,0.223241,5,10,7044.21,1e-07,0.033,0.001,12.5739
6,1,5.40183e-05,0.245351,5,10,7043.81,1e-07,0.033,0.001,13.9861
7,1,0.000907075,0.249542,5,10,7043.42,1e-07,0.033,0.001,9.92498
8,1,0.00106863,0.2379,5,10,7043.05,1e-07,0.033,0.001,10.5462
9,1,6.18306e-05,0.240223,5,10,7041.91,1e-07,0.033,0.001,13.9874
10,1,3.92611e-05,0.284527,5,10,7041.54,1e-07,0.033,0.001,13.9267
1,2,0.00337892,0.423755,5,10,7042.16,1e-07,0.033,0.001,13.8772
2,2,0.06689,0.436029,5,10,7043.05,1e-07,0.033,0.001,13.8842
3,2,0.00552774,0.419159,5,10,7043.91,1e-07,0.033,0.001,13.979
4,2,0.0017553,0.423216,5,10,7042.02,1e-07,0.033,0.001,13.9988
5,2,0.00635887,0.447195,5,10,7041.96,1e-07,0.033,0.001,13.7214
6,2,0.0245062,0.432184,5,10,7043.99,1e-07,0.033,0.001,13.9805
7,2,0.00131653,0.439516,5,10,7042.63,1e-07,0.033,0.001,13.7852
8,2,0.0282935,0.434245,5,10,7042.7,1e-07,0.033,0.001,14
9,2,0.00137817,0.441485,5,10,7042.57,1e-07,0.033,0.001,13.9577
10,2,0.00172446,0.445751,5,10,7042.33,1e-07,0.033,0.001,14
1,3,0.000128385,0.318151,5,10,7041.39,1e-07,0.033,0.001,1.30902
2,3,0.000128816,0.315033,5,10,7041.96,1e-07,0.033,0.001,1.27613
3,3,0.000125252,0.311113,5,10,7043.51,1e-07,0.033,0.001,1.36912
4,3,0.000119779,0.309116,5,10,7042.58,1e-07,0.033,0.001,1.58136
5,3,0.000149113,0.309294,5,10,7043.15,1e-07,0.033,0.001,1.2581
6,3,0.000144569,0.311358,5,10,7042.35,1e-07,0.033,0.001,1.25131
7,3,0.000152899,0.309496,5,10,7043.82,1e-07,0.033,0.001,1.28272
8,3,0.000146453,0.313731,5,10,7042.43,1e-07,0.033,0.001,1.21942
9,3,9.68025e-05,0.319826,5,10,7042.21,1e-07,0.033,0.001,1.91749
10,3,0.000138247,0.312023,5,10,7042.31,1e-07,0.033,0.001,1.33103
