rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.183939,-0.259757,0,0,0.000139169,0,0,0,1.94679
2,1,2.10095,-0.227687,0,0,-0.000129123,0,0,0,-1.62066
3,1,0.146089,-0.287638,0,0,8.54672e-05,0,0,0,7.78407
4,1,5.31976,-0.305809,0,0,7.8757e-06,0,0,0,-1.73294
5,1,2.03311,-0.371898,0,0,0.00023891,0,0,0,-0.47302
6,1,0.0913995,-0.277461,0,0,0.000182837,0,0,0,4.26761
7,1,2.9123,-0.260524,0,0,0.000127455,0,0,0,-1.75954
8,1,3.07621,-0.3083,0,0,7.49886e-05,0,0,0,-1.53342
9,1,0.226475,-0.29858,0,0,-8.72005e-05,0,0,0,4.36396
10,1,-0.22769,-0.129322,0,0,-0.00013959,0,0,0,2.59769
1,2,4.22739,0.269005,0,0,-5.14264e-05,0,0,0,2.07766
2,2,7.21288,0.297559,0,0,7.39968e-05,0,0,0,2.13714
3,2,4.71961,0.2581,0,0,0.000197071,0,0,0,3.85021
4,2,3.57247,0.267733,0,0,-7.20385e-05,0,0,0,6.70822
5,2,4.85968,0.322844,0,0,-8.03021e-05,0,0,0,1.24709
6,2,6.20876,0.288703,0,0,0.000208679,0,0,0,3.92714
7,2,3.28483,0.305524,0,0,1.56065e-05,0,0,0,1.51209
8,2,6.35246,0.293458,0,0,2.44028e-05,0,0,0,9.9702
9,2,3.33059,0.309995,0,0,6.6967e-06,0,0,0,3.14937
10,2,3.55475,0.319611,0,0,-2.72463e-05,0,0,0,13.4164
1,3,0.95711,-0.0176252,0,0,-0.000161729,0,0,0,-4.922
2,3,0.96046,-0.027473,0,0,-8.01071e-05,0,0,0,-4.95005
3,3,0.932403,-0.0399938,0,0,0.000140053,0,0,0,-4.87233
4,3,0.887724,-0.0464347,0,0,7.89022e-06,0,0,0,-4.71117
5,3,1.10678,-0.0458575,0,0,8.87454e-05,0,0,0,-4.96572
6,3,1.07583,-0.0392056,0,0,-2.54549e-05,0,0,0,-4.97166
7,3,1.13185,-0.0452055,0,0,0.000184555,0,0,0,-4.94438
8,3,1.08878,-0.0316146,0,0,-1.29771e-05,0,0,0,-4.99999
9,3,0.674749,-0.012374,0,0,-4.50506e-05,0,0,0,-4.49088
10,3,1.03112,-0.037074,0,0,-2.98928e-05,0,0,0,-4.90358
