ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
1,-0.9101654850000001,7.55877,7.55877,7.20827,7.48334
1,-0.827423168,7.5492,7.5492,7.19919,7.4741
1,-0.7696032359839358,7.54236,7.54236,7.19284,7.46764
1,-0.6290409869678716,7.52527,7.52527,7.17741,7.45194
1,-0.4884787379518074,7.50767,7.50767,7.16198,7.43623
1,-0.3479164889357431,7.48968,7.48968,7.14655,7.42053
1,-0.2073542399196788,7.47139,7.47139,7.13112,7.40482
1,-0.0667919909036147,7.45287,7.45287,7.11569,7.38912
1,0,7.44401,7.44401,7.10836,7.38165
1,0.041371158,7.4385,7.4385,7.10382,7.37703
1,0.0737702581124495,7.43417,7.43417,7.10026,7.37341
1,0.082742317,7.43297,7.43297,7.09928,7.37241
1,0.2143325071285138,7.41533,7.41533,7.08483,7.35771
1,0.24822695,7.41077,7.41077,7.08111,7.35392
1,0.3548947561445781,7.39638,7.39638,7.0694,7.342
1,0.4954570051606424,7.37734,7.37734,7.05397,7.32629
1,0.6360192541767065,7.35823,7.35823,7.03854,7.31059
1,0.7765815031927708,7.33906,7.33906,7.02311,7.29488
1,0.827423168,7.33211,7.33211,7.01753,7.2892
1,0.917143752208835,7.31985,7.31985,7.00768,7.27917
1,0.992907801,7.30947,7.30947,6.99936,7.27071
1,1.0577060012249,7.30059,7.30059,6.99225,7.26347
1,1.075650118,7.29813,7.29813,6.99028,7.26146
1,1.19826825024096,7.28131,7.28131,6.97682,7.24776
1,1.33883049925703,7.262,7.262,6.96139,7.23205
1,1.47939274827309,7.24267,7.24267,6.94596,7.21635
1,1.61995499728916,7.22333,7.22333,6.93053,7.20064
1,1.76051724630522,7.20397,7.20397,6.9151,7.18493
1,1.90107949532128,7.18459,7.18459,6.89967,7.16923
1,1.985815603,7.17291,7.17291,6.89037,7.15976
1,2.04164174433735,7.1652,7.1652,6.88424,7.15352
1,2.06855792,7.16149,7.16149,6.88129,7.15051
1,2.151300236,7.15007,7.15007,6.8722,7.14127
1,2.18220399335341,7.14581,7.14581,6.86881,7.13781
1,2.32276624236948,7.12641,7.12641,6.85338,7.12211
1,2.46332849138554,7.107,7.107,6.83795,7.1064
1,2.60389074040161,7.08758,7.08758,6.82252,7.09069
1,2.74445298941767,7.06816,7.06816,6.80709,7.07499
1,2.88501523843373,7.04873,7.04873,6.79166,7.05928
1,3.0255774874498,7.02931,7.02931,6.77623,7.04357
1,3.061465721,7.02434,7.02434,6.77229,7.03956
1,3.16613973646586,7.00987,7.00987,6.7608,7.02786
1,3.30670198548193,6.99044,6.99044,6.74537,7.01216
1,3.44726423449799,6.971,6.971,6.72994,6.99645
1,3.58782648351406,6.95156,6.95156,6.71451,6.98074
1,3.72838873253012,6.93211,6.93211,6.69908,6.96504
1,3.86895098154618,6.91267,6.91267,6.68365,6.94933
1,3.971631206,6.89846,6.89846,6.67238,6.93786
1,4.00951323056225,6.89322,6.89322,6.66822,6.93362
1,4.054373522,6.88701,6.88701,6.6633,6.92861
1,4.137115839,6.87556,6.87556,6.65422,6.91936
1,4.15007547957831,6.87377,6.87377,6.65279,6.91792
1,4.29063772859438,6.85432,6.85432,6.63736,6.90221
1,4.43119997761044,6.83487,6.83487,6.62193,6.8865
1,4.5717622266265,6.81541,6.81541,6.6065,6.8708
1,4.71232447564257,6.79596,6.79596,6.59107,6.85509
1,4.85288672465863,6.77651,6.77651,6.57564,6.83938
1,4.964539007,6.76105,6.76105,6.56339,6.82691
1,4.9934489736747,6.75705,6.75705,6.56021,6.82367
1,5.047281324,6.7496,6.7496,6.55431,6.81766
1,5.130023641,6.73815,6.73815,6.54522,6.80841
1,5.13401122269076,6.73759,6.73759,6.54478,6.80797
1,5.27457347170683,6.71814,6.71814,6.52935,6.79226
1,5.41513572072289,6.69868,6.69868,6.51392,6.77655
1,5.55569796973895,6.67922,6.67922,6.49849,6.76085
1,5.69626021875502,6.65976,6.65976,6.48306,6.74514
1,5.83682246777108,6.6403,6.6403,6.46763,6.72943
1,5.957446809,6.6236,6.6236,6.45439,6.71595
1,5.97738471678715,6.62084,6.62084,6.45221,6.71373
1,6.040189125,6.61214,6.61214,6.44531,6.70671
1,6.11794696580321,6.60138,6.60138,6.43678,6.69802
1,6.122931442,6.60069,6.60069,6.43623,6.69746
1,6.25850921481928,6.58192,6.58192,6.42135,6.68231
1,6.39907146383534,6.56246,6.56246,6.40592,6.66661
1,6.5396337128514,6.54299,6.54299,6.39049,6.6509
1,6.68019596186747,6.52353,6.52353,6.37506,6.63519
1,6.82075821088353,6.50407,6.50407,6.35963,6.61948
1,6.9613204598996,6.4846,6.4846,6.3442,6.60378
1,7.033096927,6.47467,6.47467,6.33632,6.59576
1,7.10188270891566,6.46514,6.46514,6.32877,6.58807
1,7.115839243,6.46321,6.46321,6.32724,6.58651
1,7.24244495793173,6.44568,6.44568,6.31334,6.57236
1,7.38300720694779,6.42621,6.42621,6.29791,6.55666
1,7.52356945596385,6.40675,6.40675,6.28248,6.54095
1,7.66413170497992,6.38729,6.38729,6.26705,6.52524
1,7.80469395399598,6.36782,6.36782,6.25162,6.50954
1,7.943262411,6.34863,6.34863,6.23641,6.49405
1,7.94525620301205,6.34836,6.34836,6.23619,6.49383
1,8.026004728,6.33717,6.33717,6.22733,6.48481
1,8.08581845202811,6.32889,6.32889,6.22076,6.47812
1,8.108747045,6.32572,6.32572,6.21824,6.47556
1,8.22638070104417,6.30943,6.30943,6.20533,6.46241
1,8.36694295006024,6.28996,6.28996,6.1899,6.44671
1,8.5075051990763,6.2705,6.2705,6.17447,6.431
1,8.64806744809237,6.25103,6.25103,6.15904,6.41529
1,8.78862969710843,6.23156,6.23156,6.14361,6.39959
1,8.9291919461245,6.2121,6.2121,6.12818,6.38388
1,8.936170213,6.21113,6.21113,6.12742,6.3831
