rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,3.23665,1.53698,5,15,8456.89,1e-07,0.033,0.001,1.52456
2,1,3.4181e+06,1.60094,5,15,8460.69,1e-07,0.033,0.001,1.45932
3,1,7.03528e+06,1.68342,5,14.9997,8461.99,1e-07,0.033,0.001,1.26683
4,1,0.529113,1.53183,5,15,8464.33,1e-07,0.033,0.001,1.4577
5,1,7877.55,1.53706,5,15,8466.21,1e-07,0.033,0.001,1.63691
6,1,0.00709604,1.50684,5,15,8458.98,1e-07,0.033,0.001,1.61006
7,1,5.56998,1.57303,5,14.9744,8459.92,1e-07,0.033,0.001,1.55414
8,1,0.118868,1.55688,5,15,8462.68,1e-07,0.033,0.001,1.58527
9,1,0.119015,1.49888,5,15,8458.76,1e-07,0.033,0.001,1.50196
10,1,0.0725343,1.5793,5,15,8460.41,1e-07,0.033,0.001,1.48486
1,2,68.3885,0.562245,5,14.9897,8460.4,1e-07,0.033,0.001,13.8767
2,2,12.3547,0.56789,5,15,8458.66,1e-07,0.033,0.001,13.9821
3,2,0.0068155,0.569285,5,15,8461.78,1e-07,0.033,0.001,13.9842
4,2,56560.9,0.563632,5,15,8457.04,1e-07,0.033,0.001,13.9599
5,2,3150.15,0.568223,5,15,8458.28,1e-07,0.033,0.001,13.9973
6,2,0.0137711,0.551894,5,15,8459.44,1e-07,0.033,0.001,13.9902
7,2,0.0102754,0.574399,5,15,8459.99,1e-07,0.033,0.001,13.9928
8,2,131.772,0.569439,5,15,8454.55,1e-07,0.033,0.001,13.9999
9,2,32.9197,0.541881,5,15,8456.46,1e-07,0.033,0.001,14
10,2,0.00987269,0.556025,5,15,8455.95,1e-07,0.033,0.001,13.9576
1,3,0.287005,0.518882,5,3.06995,8459.43,1e-07,0.033,0.001,13.9795
2,3,0.00133661,0.579031,5,1,8459.58,1e-07,0.033,0.001,13.9947
3,3,0.0181677,0.444574,5,14.9725,8459.59,1e-07,0.033,0.001,12.9057
4,3,5581.7,0.433706,5,15,8456.68,1e-07,0.033,0.001,12.5159
5,3,2.44416,0.576618,5,1,8460.88,1e-07,0.033,0.001,13.7337
6,3,0.0194539,0.460466,5,15,8461.69,1e-07,0.033,0.001,12.274
7,3,0.00650833,0.651322,5,1.00002,8459.65,1e-07,0.033,0.001,11.3201
8,3,622.48,0.602144,5,13.5214,8459.7,1e-07,0.033,0.001,6.99703
9,3,8.74323e-05,0.517315,5,15,8457.33,1e-07,0.033,0.001,13.9892
10,3,0.00419909,0.586214,5,1,8458.75,1e-07,0.033,0.001,13.9971
1,4,0.0944437,1.61097,5,15,8456.26,1e-07,0.033,0.001,0.0990341
2,4,0.00185027,1.62565,5,15,8461.5,1e-07,0.033,0.001,0.560623
3,4,16962.9,1.54352,5,15,8460.04,1e-07,0.033,0.001,0.110707
4,4,0.0297003,1.55975,5,15,8461.86,1e-07,0.033,0.001,0.201332
5,4,0.232919,1.63549,5,15,8466.08,1e-07,0.033,0.001,0.0170319
6,4,0.162264,1.58136,5,15,8458.72,1e-07,0.033,0.001,0.0760862
7,4,0.00205811,1.67433,5,15,8457.68,1e-07,0.033,0.001,0.3659
8,4,1.20848e+07,1.59458,5,15,8464.17,1e-07,0.033,0.001,0.00601772
9,4,15.2597,1.74471,5,12.1418,8461.55,1e-07,0.033,0.001,0.0140872
10,4,0.00989176,1.5305,5,15,8453.75,1e-07,0.033,0.001,0.346602
