rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.00774118,1.71681,5,10,9176.25,1e-07,0.033,0.001,1.24285
2,1,0.405935,1.53666,5,10,9176.37,1e-07,0.033,0.001,1.31015
3,1,0.0806223,1.58488,5,10,9176.9,1e-07,0.033,0.001,1.39368
4,1,0.333565,1.55369,5,10,9176.75,1e-07,0.033,0.001,1.42012
5,1,0.010777,1.63031,5,10,9176.59,1e-07,0.033,0.001,1.44795
6,1,0.119333,1.55496,5,10,9176.49,1e-07,0.033,0.001,1.45962
7,1,118.192,1.66823,5,10,9176.16,1e-07,0.033,0.001,1.26861
8,1,1.73843,1.58418,5,10,9176.73,1e-07,0.033,0.001,1.47408
9,1,2.82544,1.69566,5,10,9176.92,1e-07,0.033,0.001,1.36547
10,1,0.262856,1.58164,5,10,9176.46,1e-07,0.033,0.001,1.4087
1,2,0.0125781,0.569535,5,10,9176.48,1e-07,0.033,0.001,13.9999
2,2,4.21889,0.581906,5,10,9177.06,1e-07,0.033,0.001,13.9637
3,2,0.0014247,0.583825,5,10,9177.17,1e-07,0.033,0.001,13.9997
4,2,0.00405471,0.599708,5,10,9176.33,1e-07,0.033,0.001,13.6623
5,2,0.000703415,0.588771,5,10,9175.91,1e-07,0.033,0.001,13.9985
6,2,20.7128,0.578682,5,10,9176.6,1e-07,0.033,0.001,13.9986
7,2,13.3581,0.580299,5,10,9176.45,1e-07,0.033,0.001,13.726
8,2,1.32781,0.579673,5,10,9176.21,1e-07,0.033,0.001,14
9,2,0.281605,0.57488,5,10,9176.87,1e-07,0.033,0.001,13.9823
10,2,0.691615,0.576224,5,10,9176.53,1e-07,0.033,0.001,13.9993
1,3,34769.2,0.454452,5,10,9176.87,1e-07,0.033,0.001,12.7847
2,3,9.28487e-05,0.499977,5,10,9176.11,1e-07,0.033,0.001,13.9362
3,3,188.82,0.515779,5,10,9176.58,1e-07,0.033,0.001,10.8229
4,3,0.000667842,0.511544,5,10,9177.1,1e-07,0.033,0.001,11.4533
5,3,76.3524,0.423156,5,10,9176.88,1e-07,0.033,0.001,13.9928
6,3,59.7247,0.518767,5,10,9176.7,1e-07,0.033,0.001,11.6552
7,3,0.00245038,0.510097,5,10,9176.4,1e-07,0.033,0.001,10.9674
8,3,29.222,0.554268,5,10,9177.04,1e-07,0.033,0.001,8.77067
9,3,0.000129449,0.505165,5,10,9176.69,1e-07,0.033,0.001,12.9696
10,3,0.16591,0.422348,5,10,9176.08,1e-07,0.033,0.001,13.8142
1,4,0.493523,1.8749,5,10,9176.4,1e-07,0.033,0.001,0.00922301
2,4,0.916393,1.64812,5,10,9176.64,1e-07,0.033,0.001,0.0259931
3,4,0.00117722,1.88867,5,10,9176.71,1e-07,0.033,0.001,0.446439
4,4,0.0435738,1.72547,5,10,9176.42,1e-07,0.033,0.001,0.00122077
5,4,0.0100252,1.86197,5,10,9176.5,1e-07,0.033,0.001,0.00264262
6,4,7355.62,1.93586,5,10,9176.16,1e-07,0.033,0.001,0.0027416
7,4,5818.73,1.59872,5,10,9176.05,1e-07,0.033,0.001,0.056945
8,4,1.64911,1.73136,5,10,9176.2,1e-07,0.033,0.001,0.056601
9,4,0.00390157,1.84955,5,10,9176.16,1e-07,0.033,0.001,0.0636217
10,4,1847.6,1.7255,5,10,9176.73,1e-07,0.033,0.001,0.00101035
