rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,4.24241,0.546231,0,0,-3.24925e-05,0,0,0,-2.64219
2,1,14.4804,0.566577,0,0,1.62885e-05,0,0,0,-2.60533
3,1,25.1368,0.505172,0,0,-2.10543e-05,0,0,0,-2.55336
4,1,10.128,0.545663,0,0,-1.98116e-05,0,0,0,-2.69509
5,1,4.42713,0.51723,0,0,1.69942e-05,0,0,0,-2.4658
6,1,9.28508,0.539105,0,0,1.5439e-05,0,0,0,-2.63572
7,1,8.8005,0.549516,0,0,4.58492e-05,0,0,0,-2.58013
8,1,4.61313,0.58383,0,0,3.47786e-05,0,0,0,-2.58031
9,1,20.2099,0.559617,0,0,2.03723e-05,0,0,0,-2.71605
10,1,19.6799,0.559946,0,0,2.30441e-05,0,0,0,-2.53616
1,2,4.33341,-0.467019,0,0,-3.39989e-05,0,0,0,10.3737
2,2,15.3844,-0.498019,0,0,1.00438e-06,0,0,0,4.62621
3,2,9.50035,-0.486596,0,0,1.02952e-05,0,0,0,7.66042
4,2,15.6067,-0.487448,0,0,-8.03632e-07,0,0,0,3.13725
5,2,6.01988,-0.526372,0,0,-2.69482e-05,0,0,0,5.97932
6,2,11.9659,-0.506038,0,0,-6.60725e-06,0,0,0,4.96036
7,2,12.5164,-0.494412,0,0,-2.11278e-05,0,0,0,4.19002
8,2,9.49325,-0.512683,0,0,-1.10569e-05,0,0,0,4.91664
9,2,3.0285,-0.516774,0,0,7.22005e-06,0,0,0,4.5829
10,2,7.61227,-0.485912,0,0,1.19141e-05,0,0,0,3.07
1,3,17.5395,-0.443623,0,0,7.87669e-06,0,0,0,-0.409974
2,3,5.25329,-0.549075,0,0,1.06328e-06,0,0,0,0.0514432
3,3,3.19559,-0.486096,0,0,-1.16316e-05,0,0,0,-0.116199
4,3,11.2231,-0.289026,0,0,3.84194e-06,0,0,0,-1.02583
5,3,15.1056,-0.623463,0,0,-8.73133e-06,0,0,0,1.1643
6,3,4.75424,-0.472298,0,0,-3.00763e-05,0,0,0,-0.399201
7,3,25.2638,-0.69179,0,0,1.9289e-05,0,0,0,9.21068
8,3,3.41268,-0.640597,0,0,1.51317e-05,0,0,0,0.995813
9,3,13.4286,-0.478376,0,0,1.39856e-05,0,0,0,-0.242778
10,3,5.92187,-0.494295,0,0,-2.39182e-05,0,0,0,-0.108481
1,4,7.59409,0.514621,0,0,-1.04155e-05,0,0,0,-5.46303
2,4,4.90048,0.559503,0,0,3.91547e-06,0,0,0,-4.77239
3,4,7.48903,0.620257,0,0,-3.70406e-05,0,0,0,-9.27722
4,4,8.6267,0.582796,0,0,-2.13712e-05,0,0,0,-4.32851
5,4,8.47617,0.680792,0,0,1.44312e-05,0,0,0,-5.97687
6,4,15.6764,0.54034,0,0,1.42589e-05,0,0,0,-4.97126
7,4,12.8956,0.490983,0,0,5.39717e-06,0,0,0,-10.7522
8,4,6.4139,0.507268,0,0,-2.15077e-05,0,0,0,-4.20575
9,4,10.9162,0.560551,0,0,5.60615e-06,0,0,0,-4.91449
10,4,15.0547,0.573291,0,0,2.62995e-05,0,0,0,-4.28289
