rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,6.29099,0.532415,0,57.1051,-0.00186595,0,0,0,-4.17249
2,1,10.9472,0.535123,0,272.36,-0.0194506,0,0,0,-4.25065
3,1,4.83535,0.538873,0,33.8633,0.013641,0,0,0,-3.88534
4,1,12.7853,0.55789,0,129.165,-0.00804967,0,0,0,-4.05682
5,1,9.97084,0.514662,0,3.73464,0.0487621,0,0,0,-4.19281
6,1,12.5995,0.526777,0,106.39,0.0223025,0,0,0,-4.16694
7,1,8.52837,0.499768,0,46.2551,-0.0319418,0,0,0,-3.92257
8,1,10.1662,0.500642,0,172.192,-0.0248739,0,0,0,-4.01165
9,1,11.1352,0.501893,0,92.4791,0.00190554,0,0,0,-4.01948
10,1,8.98279,0.538537,0,84.146,-0.0136761,0,0,0,-4.07941
1,2,12.2059,-0.535815,0,160.419,-0.00618154,0,0,0,4.92301
2,2,18.6562,-0.532365,0,159.543,-0.0132925,0,0,0,9.83563
3,2,12.4833,-0.537018,0,23.8929,0.0368771,0,0,0,3.75026
4,2,3.85602,-0.53352,0,173.745,0.000623282,0,0,0,17.8235
5,2,6.52764,-0.521202,0,191.513,0.0402095,0,0,0,2.56839
6,2,9.92466,-0.527856,0,6.55949,-0.000989354,0,0,0,5.74317
7,2,7.15424,-0.506092,0,121.294,0.0129369,0,0,0,4.90774
8,2,10.1619,-0.521062,0,36.7366,-0.00213538,0,0,0,14.1511
9,2,6.89626,-0.517834,0,144.92,-0.0337778,0,0,0,17.0173
10,2,14.4619,-0.520667,0,116.647,-0.0404739,0,0,0,9.84503
1,3,19.9617,-0.455542,0,-86.5863,0.0447948,0,0,0,2.46949
2,3,2.26578,-0.465137,0,-33.024,-0.031997,0,0,0,4.53427
3,3,19.638,-0.54898,0,104.086,-0.0359476,0,0,0,-1.25534
4,3,14.6113,-0.497213,0,-73.8906,0.00884596,0,0,0,16.7368
5,3,1.69701,-0.443711,0,-19.295,-0.0448238,0,0,0,16.2463
6,3,11.0266,-0.520338,0,-112.11,-0.00291387,0,0,0,8.13854
7,3,8.6375,-0.514225,0,117.526,-0.0204612,0,0,0,-1.38636
8,3,17.8394,-0.505785,0,-104.64,0.00540176,0,0,0,4.9793
9,3,12.4468,-0.474833,0,-56.0306,-0.0174982,0,0,0,5.22416
10,3,4.40954,-0.514542,0,-151.17,0.00312007,0,0,0,8.77464
1,4,4.83166,0.475236,0,65.5822,0.00787548,0,0,0,-8.74168
2,4,8.26816,0.537198,0,83.6135,0.0101551,0,0,0,-7.35076
3,4,15.8417,0.500714,0,38.9667,-0.00742366,0,0,0,-7.30996
4,4,14.6423,0.5749,0,51.8037,0.0204363,0,0,0,-7.68048
5,4,4.80899,0.560742,0,77.6337,0.0145617,0,0,0,-9.80434
6,4,4.691,0.543842,0,34.5043,-0.014612,0,0,0,-5.49125
7,4,13.9697,0.588179,0,254.18,-0.0288564,0,0,0,-8.32421
8,4,10.3112,0.58797,0,81.1023,-0.0323795,0,0,0,-5.93263
9,4,7.72867,0.443616,0,43.778,0.00282654,0,0,0,-15.8966
10,4,9.55181,0.517462,0,72.9946,0.0401642,0,0,0,-11.4516
