D_pop,1,-0.0325942,-0.0144422,0.037761,-0.0233568,0.047218,0.0242411,-0.0056645,-0.0115072,0.0144778
B_pop,-0.0325942,1,-0.0410874,-0.559153,-0.019538,-0.695012,-0.778471,-0.234188,-0.0994047,0.0820261
Time0_pop,-0.0144422,-0.0410874,1,0.0186147,0.0278555,0.0427126,0.143014,0.490223,0.0562739,-0.0621862
omega_alpha,0.037761,-0.559153,0.0186147,1,0.0317534,0.827512,0.652556,0.193126,0.143966,-0.129472
omega_D,-0.0233568,-0.019538,0.0278555,0.0317534,1,0.0347566,0.0437465,0.0522052,0.087605,-0.0943369
omega_C,0.047218,-0.695012,0.0427126,0.827512,0.0347566,1,0.790133,0.244501,0.166434,-0.147533
omega_B,0.0242411,-0.778471,0.143014,0.652556,0.0437465,0.790133,1,0.39262,0.159494,-0.146976
omega_Time0,-0.0056645,-0.234188,0.490223,0.193126,0.0522052,0.244501,0.39262,1,0.143858,-0.149135
a,-0.0115072,-0.0994047,0.0562739,0.143966,0.087605,0.166434,0.159494,0.143858,1,-0.921306
b,0.0144778,0.0820261,-0.0621862,-0.129472,-0.0943369,-0.147533,-0.146976,-0.149135,-0.921306,1
