rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.11174,-0.236359,0,0,-0.0275471,0,0,0,2.62829
2,1,0.339447,-0.245093,0,0,-0.0280761,0,0,0,-1.79942
3,1,0.137516,-0.233894,0,0,-0.00953883,0,0,0,10.0929
4,1,5.00639,-0.249481,0,0,-0.0108011,0,0,0,-3.2983
5,1,0.882682,-0.341511,0,0,0.0622479,0,0,0,-1.2198
6,1,0.824937,-0.262119,0,0,-0.0042535,0,0,0,-2.69609
7,1,0.418851,-0.309427,0,0,0.00850452,0,0,0,-0.818494
8,1,5.67588,-0.264194,0,0,0.0812135,0,0,0,-3.48567
9,1,-0.299637,-0.153449,0,0,0.0536805,0,0,0,2.47263
10,1,-0.091364,-0.159994,0,0,0.0204552,0,0,0,-0.72161
1,2,5.7473,0.258444,0,0,0.0147538,0,0,0,1.61434
2,2,5.80376,0.283624,0,0,0.00225018,0,0,0,2.54172
3,2,4.95868,0.29046,0,0,0.107145,0,0,0,3.86073
4,2,3.69188,0.279853,0,0,-0.0116749,0,0,0,6.25332
5,2,5.68788,0.340929,0,0,-0.0213029,0,0,0,-0.121446
6,2,5.1834,0.286322,0,0,0.107684,0,0,0,3.72487
7,2,2.33791,0.313293,0,0,0.0420115,0,0,0,2.96418
8,2,4.85926,0.305581,0,0,0.0342902,0,0,0,4.01073
9,2,3.59127,0.290275,0,0,0.0557766,0,0,0,3.98101
10,2,2.61646,0.30007,0,0,-0.0132553,0,0,0,13.373
1,3,0.942835,-0.0195095,0,0,-0.0260121,0,0,0,-6.14559
2,3,1.2042,-0.0436294,0,0,-0.0154616,0,0,0,-6.47567
3,3,0.907741,-0.0395925,0,0,-0.0290915,0,0,0,-6.0689
4,3,1.21845,-0.0616483,0,0,-0.058088,0,0,0,-6.33795
5,3,1.21131,-0.0477962,0,0,-0.0671603,0,0,0,-6.20422
6,3,0.781103,-0.0283864,0,0,0.0426671,0,0,0,-6.13799
7,3,1.15955,-0.060441,0,0,0.0380845,0,0,0,-6.40138
8,3,1.33112,-0.0513728,0,0,0.0055298,0,0,0,-6.66467
9,3,0.989985,-0.0222362,0,0,-0.0276088,0,0,0,-6.12558
10,3,0.78029,-0.0204798,0,0,0.123897,0,0,0,-6.32759
