rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,6.92522e-05,0.254069,5,10,6488.08,1e-07,0.033,0.001,12.5017
2,1,3.53479e-05,0.276933,5,10,6636.23,1e-07,0.033,0.001,13.9999
3,1,4.54842e-05,0.262461,5,10,6144.43,1e-07,0.033,0.001,14
4,1,0.000123698,0.249323,5,10,7105.03,1e-07,0.033,0.001,10.8699
5,1,4.48569e-05,0.272141,5,10,6940.91,1e-07,0.033,0.001,13.8381
6,1,5.56632e-05,0.249791,5,10,7038.71,1e-07,0.033,0.001,13.577
7,1,5.80668e-05,0.248692,5,10,6500.15,1e-07,0.033,0.001,13.8434
8,1,0.000227184,0.2785,5,10,6894.9,1e-07,0.033,0.001,9.10482
9,1,0.124986,0.257151,5,10,6933.78,1e-07,0.033,0.001,8.45457
10,1,5.94669e-05,0.234467,5,10,6589.71,1e-07,0.033,0.001,13.9776
1,2,0.0019549,0.443112,5,10,6623.12,1e-07,0.033,0.001,13.9999
2,2,0.00557061,0.434844,5,10,6528.53,1e-07,0.033,0.001,13.982
3,2,0.00872674,0.433637,5,10,6260.22,1e-07,0.033,0.001,13.9737
4,2,0.00373743,0.441312,5,10,6258.48,1e-07,0.033,0.001,13.9906
5,2,0.0017056,0.439888,5,10,6857.58,1e-07,0.033,0.001,13.9936
6,2,0.0020817,0.446601,5,10,6735.15,1e-07,0.033,0.001,13.8434
7,2,0.0279926,0.445412,5,10,6638.91,1e-07,0.033,0.001,13.998
8,2,0.000901977,0.448358,5,10,7187.45,1e-07,0.033,0.001,14
9,2,0.0108309,0.435745,5,10,6555.15,1e-07,0.033,0.001,13.989
10,2,0.000865695,0.430963,5,10,6106.88,1e-07,0.033,0.001,13.997
1,3,0.000136486,0.312584,5,10,6615.47,1e-07,0.033,0.001,1.39476
2,3,0.000151478,0.312844,5,10,6574.76,1e-07,0.033,0.001,1.28917
3,3,0.000121244,0.314632,5,10,7256.32,1e-07,0.033,0.001,1.31001
4,3,0.000177534,0.304881,5,10,6323.68,1e-07,0.033,0.001,1.3105
5,3,0.000159319,0.310066,5,10,6140.21,1e-07,0.033,0.001,1.39657
6,3,0.000191321,0.310705,5,10,6347.17,1e-07,0.033,0.001,1.08475
7,3,0.000125415,0.314716,5,10,6346.1,1e-07,0.033,0.001,1.58531
8,3,0.000155642,0.31785,5,10,6662.46,1e-07,0.033,0.001,1.31148
9,3,0.000175127,0.314605,5,10,6556.27,1e-07,0.033,0.001,1.16666
10,3,0.000159246,0.308835,5,10,6441.81,1e-07,0.033,0.001,1.3195
