rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,7.05653,0.539123,0,0,-0.000481103,0,0,0,-2.8281
2,1,5.00105,0.605579,0,0,0.00030511,0,0,0,-2.84489
3,1,13.9872,0.562902,0,0,-0.000430303,0,0,0,-2.68364
4,1,18.8115,0.550497,0,0,0.000728948,0,0,0,-2.73655
5,1,8.46706,0.552708,0,0,0.00017964,0,0,0,-2.89017
6,1,7.4385,0.53798,0,0,-0.000569227,0,0,0,-2.7854
7,1,4.81597,0.535976,0,0,-0.00050215,0,0,0,-2.74065
8,1,6.16533,0.534935,0,0,-1.02668e-05,0,0,0,-2.78763
9,1,12.4813,0.541464,0,0,-7.32644e-05,0,0,0,-2.64051
10,1,20.1292,0.538785,0,0,-0.000191075,0,0,0,-2.85813
1,2,16.7469,-0.42946,0,0,0.000209663,0,0,0,1.73345
2,2,16.8538,-0.477568,0,0,0.000168699,0,0,0,5.41168
3,2,9.27949,-0.511599,0,0,-0.000101789,0,0,0,10.4487
4,2,9.07832,-0.473884,0,0,0.00023152,0,0,0,3.54152
5,2,2.76053,-0.477375,0,0,-5.70569e-05,0,0,0,7.31305
6,2,9.07711,-0.497679,0,0,-1.3571e-05,0,0,0,8.5648
7,2,7.08645,-0.485463,0,0,0.000232294,0,0,0,3.61819
8,2,10.6185,-0.485807,0,0,-6.03664e-05,0,0,0,4.23709
9,2,7.62517,-0.497393,0,0,-0.000273554,0,0,0,7.92477
10,2,4.23783,-0.494955,0,0,0.000314439,0,0,0,4.57256
1,3,2.64913,-0.714962,0,0,0.000142082,0,0,0,1.27179
2,3,14.8959,-0.7562,0,0,7.32543e-05,0,0,0,2.97223
3,3,8.62759,-0.737551,0,0,0.000368544,0,0,0,3.59635
4,3,19.0222,-0.505975,0,0,0.000103237,0,0,0,0.0218576
5,3,19.7023,-0.532162,0,0,0.000112184,0,0,0,0.0526472
6,3,11.1814,-0.739254,0,0,4.81117e-05,0,0,0,4.61949
7,3,4.38439,-0.784995,0,0,-0.000356829,0,0,0,4.01614
8,3,14.782,-0.631752,0,0,5.80015e-05,0,0,0,0.354568
9,3,3.89507,-0.438974,0,0,6.24677e-05,0,0,0,-0.531844
10,3,5.96719,-0.565714,0,0,-1.65579e-06,0,0,0,0.11698
1,4,5.43093,0.54858,0,0,-0.000307811,0,0,0,-4.10681
2,4,15.0581,0.499465,0,0,9.09498e-05,0,0,0,-5.02239
3,4,15.3315,0.540602,0,0,0.000310798,0,0,0,-4.96147
4,4,17.7669,0.533999,0,0,0.00030808,0,0,0,-4.14783
5,4,22.2657,0.565222,0,0,-0.000103233,0,0,0,-5.08997
6,4,6.814,0.638301,0,0,5.97473e-05,0,0,0,-4.74195
7,4,4.68376,0.495351,0,0,-0.000455926,0,0,0,-4.05459
8,4,18.9394,0.50729,0,0,3.34675e-05,0,0,0,-4.05719
9,4,21.1898,0.505586,0,0,-0.000396887,0,0,0,-4.54932
10,4,5.88704,0.627029,0,0,0.000407709,0,0,0,-8.38378
