rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,179032,1.65006,5,15,7997.05,1e-07,0.033,0.001,1.1922
2,1,180803,1.58714,5,15,7996.97,1e-07,0.033,0.001,1.15365
3,1,5.54186,1.65736,5,15,7997.34,1e-07,0.033,0.001,1.27165
4,1,422.796,1.57268,5,15,7997.04,1e-07,0.033,0.001,1.16948
5,1,3.64646,1.61397,5,15,7996.95,1e-07,0.033,0.001,1.2087
6,1,0.00167646,1.57525,5,15,7996.63,1e-07,0.033,0.001,1.55748
7,1,267.994,1.6713,5,15,7997.59,1e-07,0.033,0.001,1.0997
8,1,16878.8,1.5491,5,15,7996.16,1e-07,0.033,0.001,1.32104
9,1,446918,1.52384,5,14.996,7997.38,1e-07,0.033,0.001,1.26345
10,1,0.0512687,1.64949,5,15,7996.79,1e-07,0.033,0.001,1.00979
1,2,4488.51,0.550018,5,15,7997.24,1e-07,0.033,0.001,13.9928
2,2,2.41585,0.558205,5,15,7997.33,1e-07,0.033,0.001,13.943
3,2,0.200694,0.558431,5,15,7997.61,1e-07,0.033,0.001,13.8472
4,2,0.17563,0.531379,5,15,7996.86,1e-07,0.033,0.001,13.9805
5,2,31.5869,0.568278,5,15,7997.34,1e-07,0.033,0.001,13.9818
6,2,0.345105,0.562112,5,15,7997.2,1e-07,0.033,0.001,13.5072
7,2,0.0514611,0.548015,5,15,7996.95,1e-07,0.033,0.001,13.9314
8,2,10.2728,0.57411,5,15,7998.06,1e-07,0.033,0.001,14
9,2,0.0456281,0.559289,5,15,7997.05,1e-07,0.033,0.001,13.9942
10,2,2580.1,0.585414,5,15,7997,1e-07,0.033,0.001,13.148
1,3,0.321607,0.586512,5,1,7997.4,1e-07,0.033,0.001,13.7767
2,3,0.0536931,0.594954,5,1.00507,7997.04,1e-07,0.033,0.001,13.886
3,3,833.815,0.586655,5,1,7997.58,1e-07,0.033,0.001,13.9812
4,3,0.0101587,0.573051,5,15,7996.23,1e-07,0.033,0.001,8.27883
5,3,7.20571,0.585489,5,13.4001,7997.86,1e-07,0.033,0.001,7.85399
6,3,296.19,0.570149,5,1,7996.72,1e-07,0.033,0.001,13.9924
7,3,0.0620754,0.555599,5,15,7997.61,1e-07,0.033,0.001,8.70285
8,3,931.573,0.479902,5,15,7997.01,1e-07,0.033,0.001,9.80524
9,3,9.62445e-05,0.498191,5,15,7996.92,1e-07,0.033,0.001,13.9999
10,3,537.523,0.570495,5,1,7997.15,1e-07,0.033,0.001,13.9807
1,4,25711.8,1.57574,5,15,7996.94,1e-07,0.033,0.001,0.0578675
2,4,2.18473,1.60336,5,15,7997.25,1e-07,0.033,0.001,0.0121625
3,4,0.896988,1.57748,5,15,7996.55,1e-07,0.033,0.001,0.0388998
4,4,0.00277486,1.5966,5,15,7996.98,1e-07,0.033,0.001,0.0813014
5,4,3.12882,1.57549,5,15,7997.27,1e-07,0.033,0.001,0.0947828
6,4,5.87033e+07,1.67069,5,15,7997.08,1e-07,0.033,0.001,0.0594365
7,4,0.0974222,1.47751,5,15,7997.57,1e-07,0.033,0.001,0.0859105
8,4,0.503152,1.65548,5,15,7997.23,1e-07,0.033,0.001,0.0735525
9,4,0.00317824,1.52482,5,15,7996.95,1e-07,0.033,0.001,0.00100332
10,4,0.0443703,1.60134,5,15,7997.31,1e-07,0.033,0.001,0.101354
