rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,5.29441,0.530621,0,0,-9.67846e-05,0,0,0,-2.83399
2,1,11.4728,0.562347,0,0,-0.000148259,0,0,0,-3.04201
3,1,9.55979,0.609066,0,0,1.15898e-05,0,0,0,-3.0973
4,1,20.132,0.510854,0,0,-3.01198e-05,0,0,0,-2.7605
5,1,6.93059,0.503087,0,0,3.05044e-05,0,0,0,-2.99566
6,1,4.66276,0.598515,0,0,3.13942e-05,0,0,0,-3.0985
7,1,18.4771,0.560274,0,0,-5.32604e-05,0,0,0,-3.06067
8,1,8.12057,0.5613,0,0,4.54544e-05,0,0,0,-3.05032
9,1,3.31449,0.547182,0,0,1.744e-06,0,0,0,-2.84649
10,1,7.94825,0.580498,0,0,-0.000126803,0,0,0,-3.12244
1,2,3.33559,-0.48225,0,0,-6.76958e-06,0,0,0,7.48877
2,2,9.31839,-0.499195,0,0,6.28645e-05,0,0,0,3.08282
3,2,16.7295,-0.495285,0,0,9.75569e-05,0,0,0,15.6867
4,2,17.5076,-0.477357,0,0,-0.000114186,0,0,0,2.72873
5,2,4.5796,-0.470623,0,0,-4.05953e-05,0,0,0,3.79923
6,2,1.60156,-0.431698,0,0,-7.63608e-05,0,0,0,11.0975
7,2,9.44049,-0.482036,0,0,9.5194e-05,0,0,0,4.39849
8,2,6.27576,-0.505754,0,0,1.56705e-05,0,0,0,14.7136
9,2,5.01176,-0.491237,0,0,3.83577e-05,0,0,0,6.05929
10,2,8.77339,-0.499103,0,0,-4.51846e-05,0,0,0,6.41527
1,3,1.87473,-0.593837,0,0,0.000134306,0,0,0,0.808384
2,3,2.32692,-0.726594,0,0,1.06515e-05,0,0,0,1.62671
3,3,11.3317,-0.780027,0,0,-2.14836e-05,0,0,0,12.4636
4,3,7.67737,-0.573201,0,0,2.005e-05,0,0,0,0.560977
5,3,7.25428,-0.747913,0,0,-7.79378e-05,0,0,0,3.47611
6,3,7.48119,-0.644828,0,0,8.61782e-06,0,0,0,0.742159
7,3,2.11127,-0.623647,0,0,-0.000107413,0,0,0,0.615918
8,3,7.75967,-0.571591,0,0,-0.000123842,0,0,0,-0.171986
9,3,9.82872,-0.690435,0,0,3.63765e-05,0,0,0,2.39018
10,3,6.33101,-0.599672,0,0,5.07002e-05,0,0,0,-0.012392
1,4,6.53146,0.473656,0,0,7.1586e-05,0,0,0,-4.53876
2,4,17.4008,0.57571,0,0,6.23697e-05,0,0,0,-6.19956
3,4,4.54506,0.643604,0,0,-2.64378e-05,0,0,0,-9.29969
4,4,10.465,0.546532,0,0,-6.30889e-05,0,0,0,-6.22156
5,4,4.2626,0.612163,0,0,1.4271e-05,0,0,0,-8.31093
6,4,8.13161,0.589463,0,0,-1.97656e-05,0,0,0,-5.21954
7,4,13.4708,0.565044,0,0,-3.02338e-05,0,0,0,-9.88903
8,4,5.32284,0.608741,0,0,0.000113807,0,0,0,-6.50903
9,4,20.07,0.592031,0,0,-0.000103613,0,0,0,-5.67973
10,4,7.86496,0.572975,0,0,-3.91683e-05,0,0,0,-7.74926
