rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,79.6841,1.48406,5,15,9152.08,1e-07,0.033,0.001,1.46103
2,1,73.1357,1.51593,5,15,9152.06,1e-07,0.033,0.001,1.31447
3,1,1.53615e+06,1.60392,5,15,9152.02,1e-07,0.033,0.001,1.02609
4,1,0.0786647,1.50619,5,15,9152.06,1e-07,0.033,0.001,1.41027
5,1,5264.84,1.49676,5,15,9152.07,1e-07,0.033,0.001,1.49192
6,1,0.0416848,1.54905,5,15,9151.99,1e-07,0.033,0.001,1.29191
7,1,85.8372,1.53843,5,15,9152.08,1e-07,0.033,0.001,1.03786
8,1,1.25416e+06,1.5368,5,15,9152.08,1e-07,0.033,0.001,1.27985
9,1,0.00629556,1.60754,5,15,9152.11,1e-07,0.033,0.001,1.51451
10,1,2.78278,1.54113,5,14.9966,9152,1e-07,0.033,0.001,1.46674
1,2,0.989197,0.550121,5,15,9151.9,1e-07,0.033,0.001,13.9882
2,2,104.547,0.540254,5,15,9152.03,1e-07,0.033,0.001,13.982
3,2,250582,0.557288,5,15,9151.96,1e-07,0.033,0.001,13.9278
4,2,2559.5,0.546888,5,15,9152.1,1e-07,0.033,0.001,13.9809
5,2,38.2195,0.561867,5,15,9152.11,1e-07,0.033,0.001,13.8319
6,2,0.000778229,0.574316,5,15,9152.02,1e-07,0.033,0.001,13.5211
7,2,5.41065e+07,0.560963,5,15,9152.29,1e-07,0.033,0.001,13.9995
8,2,2659.24,0.555857,5,15,9152.05,1e-07,0.033,0.001,13.9999
9,2,3.8393e+06,0.559443,5,14.9871,9152.15,1e-07,0.033,0.001,13.9977
10,2,15.4487,0.565746,5,15,9152.1,1e-07,0.033,0.001,13.9475
1,3,0.0860979,0.58203,5,1,9152.04,1e-07,0.033,0.001,13.9971
2,3,4.7365,0.576072,5,15,9152.16,1e-07,0.033,0.001,7.70972
3,3,0.498736,0.399549,5,15,9152.07,1e-07,0.033,0.001,13.9846
4,3,5.14783e-05,0.625083,5,1,9152.01,1e-07,0.033,0.001,13.9992
5,3,1.04017e+06,0.582031,5,1.00007,9152.21,1e-07,0.033,0.001,14
6,3,0.00151165,0.629705,5,1,9151.91,1e-07,0.033,0.001,12.8542
7,3,1.06388e+06,0.593507,5,15,9151.98,1e-07,0.033,0.001,6.89081
8,3,0.00316091,0.578854,5,1,9151.92,1e-07,0.033,0.001,13.2912
9,3,14.2513,0.587788,5,15,9152.11,1e-07,0.033,0.001,7.3616
10,3,0.00159532,0.569277,5,1,9151.95,1e-07,0.033,0.001,13.9999
1,4,690.896,1.45441,5,15,9151.8,1e-07,0.033,0.001,0.011016
2,4,5.02398,1.71516,5,15,9152.21,1e-07,0.033,0.001,0.0219628
3,4,0.18179,1.54888,5,15,9152.15,1e-07,0.033,0.001,0.00106256
4,4,0.00339337,1.61217,5,15,9151.94,1e-07,0.033,0.001,0.317828
5,4,1630.8,1.5248,5,15,9152.03,1e-07,0.033,0.001,0.42254
6,4,0.141468,1.39763,5,15,9151.97,1e-07,0.033,0.001,0.119797
7,4,0.517918,1.67727,5,15,9151.92,1e-07,0.033,0.001,0.229539
8,4,12002.9,1.59838,5,15,9152.02,1e-07,0.033,0.001,0.00781181
9,4,0.00903138,1.54409,5,15,9151.88,1e-07,0.033,0.001,0.150984
10,4,0.0919355,1.77989,5,15,9151.93,1e-07,0.033,0.001,0.00364179
