rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,3.39178,-0.363347,0,0,-0.035837,0,0,0,-1.32091
2,1,0.570047,-0.314263,0,0,0.0141025,0,0,0,1.21099
3,1,3.61215,-0.390032,0,0,0.0503365,0,0,0,-1.09726
4,1,3.87158,-0.352856,0,0,-0.151721,0,0,0,-2.00435
5,1,0.202375,-0.255678,0,0,0.0216179,0,0,0,11.2069
6,1,0.687961,-0.31269,0,0,-0.155771,0,0,0,-1.13271
7,1,11.1376,-0.329119,0,0,0.0308688,0,0,0,-1.57694
8,1,2.25328,-0.430344,0,0,0.131118,0,0,0,1.849
9,1,0.293252,-0.282283,0,0,-0.0930057,0,0,0,9.31034
10,1,3.45618,-0.192518,0,0,-0.129069,0,0,0,-2.59655
1,2,4.4745,0.363533,0,0,0.104748,0,0,0,2.90323
2,2,5.83666,0.340635,0,0,0.00116666,0,0,0,3.23398
3,2,6.08965,0.328807,0,0,0.117486,0,0,0,1.33274
4,2,4.1541,0.305864,0,0,0.0502413,0,0,0,3.73046
5,2,4.00945,0.315701,0,0,0.0538381,0,0,0,1.94953
6,2,4.55418,0.321748,0,0,0.216873,0,0,0,11.0651
7,2,13.1,0.328739,0,0,-0.0420859,0,0,0,6.68973
8,2,3.93524,0.343549,0,0,0.180549,0,0,0,6.03206
9,2,7.31791,0.28666,0,0,0.0908761,0,0,0,4.22248
10,2,5.45009,0.319289,0,0,0.130633,0,0,0,8.63114
1,3,1.45021,-0.0423105,0,0,0.0426432,0,0,0,-5.73952
2,3,2.07255,-0.0647674,0,0,-0.0723284,0,0,0,-5.77152
3,3,1.76625,-0.0571383,0,0,-0.140776,0,0,0,-5.40347
4,3,1.2653,-0.0428781,0,0,-0.0340864,0,0,0,-5.40815
5,3,1.97694,-0.102239,0,0,-0.157723,0,0,0,-5.54119
6,3,2.11875,-0.0774405,0,0,-0.0763959,0,0,0,-5.83454
7,3,2.34516,-0.0557085,0,0,-0.0905092,0,0,0,-6.02901
8,3,1.30434,-0.0224974,0,0,-0.0028914,0,0,0,-5.48065
9,3,2.15849,-0.0515777,0,0,-0.124825,0,0,0,-5.65266
10,3,1.57545,-0.0572942,0,0,-0.0773173,0,0,0,-5.47768
