D_pop,1,0.041619,-0.0250821,-0.0127137,-0.0384277,0.00438374,0.0411275,-0.0237222,0.109388,-0.109679
B_pop,0.041619,1,-0.110202,-0.504276,-0.00780523,-0.173327,0.804564,-0.183025,0.122501,-0.145085
Time0_pop,-0.0250821,-0.110202,1,-0.0644074,0.0208291,0.05052,-0.14619,0.709144,-0.0263932,0.0313551
omega_alpha,-0.0127137,-0.504276,-0.0644074,1,-0.026138,0.121818,-0.373255,-0.00100192,-0.0500826,0.0595882
omega_D,-0.0384277,-0.00780523,0.0208291,-0.026138,1,-0.105808,-0.00693516,0.0154765,-0.0474533,0.0504008
omega_C,0.00438374,-0.173327,0.05052,0.121818,-0.105808,1,-0.17967,0.0501145,-0.0612324,0.0615031
omega_B,0.0411275,0.804564,-0.14619,-0.373255,-0.00693516,-0.17967,1,-0.224871,0.104025,-0.123573
omega_Time0,-0.0237222,-0.183025,0.709144,-0.00100192,0.0154765,0.0501145,-0.224871,1,-0.0259243,0.032115
a,0.109388,0.122501,-0.0263932,-0.0500826,-0.0474533,-0.0612324,0.104025,-0.0259243,1,-0.982184
b,-0.109679,-0.145085,0.0313551,0.0595882,0.0504008,0.0615031,-0.123573,0.032115,-0.982184,1
