rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.00117341,0.258394,5,4.24286,4998.23,1e-07,0.033,0.001,13.7242
2,1,44.6583,0.245081,5,9.27955,5604.55,1e-07,0.033,0.001,10.6179
3,1,0.00671675,0.253129,5,5.03887,5623.83,1e-07,0.033,0.001,13.498
4,1,0.000937516,0.248534,5,4.16478,6615.16,1e-07,0.033,0.001,13.9942
5,1,4.71614e-05,0.269801,5,7.75553,6855.94,1e-07,0.033,0.001,14
6,1,0.000140636,0.219576,5,13.9594,4733.7,1e-07,0.033,0.001,13.9852
7,1,5.07529,0.25883,5,11.3273,5738.12,1e-07,0.033,0.001,9.2375
8,1,0.0303813,0.228995,5,5.90019,10102.7,1e-07,0.033,0.001,13.9995
9,1,0.000546782,0.255843,5,4.4101,6113.51,1e-07,0.033,0.001,13.9999
10,1,0.000859793,0.255253,5,3.49018,6011.13,1e-07,0.033,0.001,13.9767
1,2,0.0116946,0.439906,5,13.3801,10388.2,1e-07,0.033,0.001,13.5494
2,2,0.00322343,0.434103,5,14.7736,10565,1e-07,0.033,0.001,13.995
3,2,0.0451512,0.424823,5,12.2591,9829.49,1e-07,0.033,0.001,13.9292
4,2,0.0185675,0.435025,5,14.9702,9609.23,1e-07,0.033,0.001,14
5,2,2.20385,0.424227,5,14.6789,7483.44,1e-07,0.033,0.001,13.9982
6,2,3.14107,0.438349,5,14.9181,7117.21,1e-07,0.033,0.001,13.7812
7,2,0.160116,0.429856,5,14.7407,8085.51,1e-07,0.033,0.001,13.9825
8,2,0.20281,0.426,5,13.3859,8550.53,1e-07,0.033,0.001,13.9999
9,2,28.4292,0.445892,5,14.6657,6034.18,1e-07,0.033,0.001,13.9994
10,2,1.7737,0.432177,5,13.1925,7103.8,1e-07,0.033,0.001,13.9931
1,3,0.00178912,0.311002,5,7.64562,5114.82,1e-07,0.033,0.001,1.45842
2,3,13886,0.307729,5,7.53828,5338.3,1e-07,0.033,0.001,1.12229
3,3,0.000182087,0.322368,5,8.0617,6723.2,1e-07,0.033,0.001,1.53993
4,3,0.00133555,0.312413,5,8.28774,5583.24,1e-07,0.033,0.001,1.25835
5,3,0.000285992,0.309441,5,9.00896,6825.27,1e-07,0.033,0.001,1.36717
6,3,0.000204148,0.298595,5,13.4948,7882.54,1e-07,0.033,0.001,1.46836
7,3,0.996318,0.318593,5,6.22583,4792.51,1e-07,0.033,0.001,1.49273
8,3,3.77298,0.312753,5,5.98809,4675.42,1e-07,0.033,0.001,1.55155
9,3,0.246959,0.31106,5,7.27939,5363.22,1e-07,0.033,0.001,1.12746
10,3,0.0003702,0.312707,5,8.21662,6060.11,1e-07,0.033,0.001,1.33485
