rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,4.93e-05,3.39948,5,10,18266.7,1e-07,0.033,0.001,14
2,1,4.93e-05,5.19787,5,10,28795,1e-07,0.033,0.001,14
3,1,4.93e-05,3.32801,5,10,17849.9,1e-07,0.033,0.001,14
4,1,4.93e-05,2.79118,5,10,15279.6,1e-07,0.033,0.001,14
5,1,4.93e-05,3.79807,5,10,20487.1,1e-07,0.033,0.001,14
6,1,4.93e-05,2.87892,5,10,15762.3,1e-07,0.033,0.001,14
7,1,4.93e-05,4.45628,5,10,24257.4,1e-07,0.033,0.001,14
8,1,4.93e-05,3.19535,5,10,17321.2,1e-07,0.033,0.001,14
9,1,4.93e-05,2.56419,5,10,14142.4,1e-07,0.033,0.001,14
10,1,4.93e-05,2.35408,5,10,13169.6,1e-07,0.033,0.001,14
1,2,4.93e-05,0.660028,5,10,31730.1,1e-07,0.033,0.001,14
2,2,4.93e-05,0.660762,5,10,38181.9,1e-07,0.033,0.001,14
3,2,4.93e-05,0.686672,5,10,22727.5,1e-07,0.033,0.001,14
4,2,4.93e-05,0.680283,5,10,24204.7,1e-07,0.033,0.001,14
5,2,4.93e-05,0.653005,5,10,47998.3,1e-07,0.033,0.001,14
6,2,4.93e-05,0.686763,5,10,24045.6,1e-07,0.033,0.001,14
7,2,4.93e-05,0.677715,5,10,22698.3,1e-07,0.033,0.001,14
8,2,4.93e-05,0.657562,5,10,31959.6,1e-07,0.033,0.001,14
9,2,4.93e-05,0.665515,5,10,59231.2,1e-07,0.033,0.001,14
10,2,4.93e-05,0.684033,5,10,20702.9,1e-07,0.033,0.001,14
1,3,4.93e-05,0.488017,5,10,23226,1e-07,0.033,0.001,14
2,3,4.93e-05,0.586424,5,10,9198.05,1e-07,0.033,0.001,14
3,3,4.93e-05,0.513309,5,10,14233.9,1e-07,0.033,0.001,14
4,3,4.93e-05,0.505781,5,10,42650.5,1e-07,0.033,0.001,14
5,3,4.93e-05,0.490421,5,10,38158.7,1e-07,0.033,0.001,14
6,3,4.93e-05,0.616415,5,10,8151.81,1e-07,0.033,0.001,14
7,3,4.93e-05,0.52733,5,10,16039.2,1e-07,0.033,0.001,14
8,3,4.93e-05,0.517287,5,10,50288.1,1e-07,0.033,0.001,14
9,3,4.93e-05,0.662848,5,10,8265,1e-07,0.033,0.001,14
10,3,4.93e-05,0.540698,5,10,18693.6,1e-07,0.033,0.001,14
1,4,4.93e-05,3.2056,5,10,16902.2,1e-07,0.033,0.001,14
2,4,4.93e-05,2.13197,5,10,11646.7,1e-07,0.033,0.001,14
3,4,4.93e-05,3.49545,5,10,18359.3,1e-07,0.033,0.001,14
4,4,4.93e-05,4.80543,5,10,25789.8,1e-07,0.033,0.001,14
5,4,4.93e-05,3.97146,5,10,20876.5,1e-07,0.033,0.001,14
6,4,4.93e-05,3.1786,5,10,16762,1e-07,0.033,0.001,14
7,4,4.93e-05,5.94405,5,10,32942.4,1e-07,0.033,0.001,14
8,4,4.93e-05,2.81049,5,10,14820.5,1e-07,0.033,0.001,14
9,4,4.93e-05,3.33815,5,10,17545.5,1e-07,0.033,0.001,14
10,4,4.93e-05,3.99028,5,10,20962.3,1e-07,0.033,0.001,14
