rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,6.90856e+06,1.62128,5,10,6975.55,1e-07,0.033,0.001,3.9879
2,1,63.2054,1.70256,5,10,6975.53,1e-07,0.033,0.001,4.06496
3,1,9.51891,1.67862,5,10,6975.53,1e-07,0.033,0.001,3.95625
4,1,1.03333e+06,1.55484,5,10,6975.54,1e-07,0.033,0.001,4.13569
5,1,0.0206131,1.61037,5,10,6975.53,1e-07,0.033,0.001,4.04845
6,1,0.00296296,1.74037,5,10,6975.53,1e-07,0.033,0.001,4.34103
7,1,0.20345,1.73425,5,10,6975.54,1e-07,0.033,0.001,4.13008
8,1,0.433791,1.63042,5,10,6975.53,1e-07,0.033,0.001,4.19701
9,1,0.0283502,1.6288,5,10,6975.55,1e-07,0.033,0.001,4.15833
10,1,4951.14,1.63793,5,10,6975.53,1e-07,0.033,0.001,4.21579
1,2,7427.73,0.633195,5,10,6975.53,1e-07,0.033,0.001,13.9944
2,2,0.0132798,0.616901,5,10,6975.54,1e-07,0.033,0.001,13.971
3,2,0.00269422,0.629347,5,10,6975.53,1e-07,0.033,0.001,13.646
4,2,0.506411,0.640581,5,10,6975.54,1e-07,0.033,0.001,13.2079
5,2,0.00120406,0.642712,5,10,6975.53,1e-07,0.033,0.001,13.3926
6,2,162589,0.619051,5,10,6975.54,1e-07,0.033,0.001,13.896
7,2,0.192759,0.593873,5,10,6975.54,1e-07,0.033,0.001,13.9974
8,2,0.00159971,0.611868,5,10,6975.52,1e-07,0.033,0.001,13.9793
9,2,38.9201,0.616109,5,10,6975.54,1e-07,0.033,0.001,13.9594
10,2,1709.32,0.611164,5,10,6975.55,1e-07,0.033,0.001,13.88
1,3,9.9648e-05,0.50553,5,10,6975.53,1e-07,0.033,0.001,13.6396
2,3,0.000197658,0.53659,5,10,6975.54,1e-07,0.033,0.001,12.0231
3,3,0.29462,0.467095,5,10,6975.54,1e-07,0.033,0.001,13.6078
4,3,1627.36,0.466422,5,10,6975.53,1e-07,0.033,0.001,13.9747
5,3,0.00227544,0.519514,5,10,6975.53,1e-07,0.033,0.001,10.7202
6,3,0.02238,0.462643,5,10,6975.53,1e-07,0.033,0.001,13.5043
7,3,7.56265e-05,0.593027,5,10,6975.54,1e-07,0.033,0.001,13.6996
8,3,192010,0.516258,5,10,6975.53,1e-07,0.033,0.001,11.955
9,3,1.76245,0.460782,5,10,6975.54,1e-07,0.033,0.001,13.9269
10,3,2.31779,0.480792,5,10,6975.54,1e-07,0.033,0.001,13.5774
1,4,0.208073,1.69864,5,10,6975.54,1e-07,0.033,0.001,2.75714
2,4,18.513,1.79,5,10,6975.53,1e-07,0.033,0.001,3.2385
3,4,0.00343682,1.70638,5,10,6975.53,1e-07,0.033,0.001,2.88309
4,4,0.00317475,1.74773,5,10,6975.55,1e-07,0.033,0.001,3.47351
5,4,1.73064,1.57932,5,10,6975.53,1e-07,0.033,0.001,2.56817
6,4,2.43044,1.63914,5,10,6975.54,1e-07,0.033,0.001,2.65017
7,4,0.00446721,1.66444,5,10,6975.54,1e-07,0.033,0.001,2.87553
8,4,0.0408293,1.92852,5,10,6975.54,1e-07,0.033,0.001,3.4137
9,4,1.87236,1.79127,5,10,6975.53,1e-07,0.033,0.001,2.94796
10,4,0.736936,1.75446,5,10,6975.54,1e-07,0.033,0.001,2.77747
