rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,12.4953,-0.466706,0,12.5395,-0.0432731,0,0,0,0.0602059
2,1,0.416425,-0.353558,0,113.696,-0.0397094,0,0,0,1.29651
3,1,1.73386,-0.423125,0,100.909,0.0688745,0,0,0,0.243389
4,1,13.097,-0.427479,0,525.71,0.0816238,0,0,0,-0.10578
5,1,5.64883,-0.325671,0,385.665,-0.0287947,0,0,0,-0.0569082
6,1,1.3261,-0.575819,0,149.749,0.0314544,0,0,0,0.349318
7,1,6.17846,-0.538724,0,186.784,0.103629,0,0,0,0.316925
8,1,1.53619,-0.407855,0,200.226,0.0448574,0,0,0,0.265181
9,1,5.42742,-0.73665,0,284.836,-0.0629033,0,0,0,0.494514
10,1,9.35694,-0.494769,0,-2.87246,-0.000144088,0,0,0,1.07792
1,2,6.86207,-0.0890367,0,227.221,0.0216755,0,0,0,0.291234
2,2,4.83973,-0.0136608,0,202.249,-0.0970068,0,0,0,0.275078
3,2,3.9667,-0.0386369,0,91.4394,-0.0335928,0,0,0,0.411898
4,2,6.81182,-0.0708753,0,0.973265,-0.0557392,0,0,0,0.411075
5,2,15.2216,0.0456326,0,248.401,-0.0111448,0,0,0,-0.0794768
6,2,7.08801,-0.0248593,0,105.45,0.0824648,0,0,0,0.280544
7,2,14.0237,-0.0873225,0,208.682,-0.0316303,0,0,0,0.373126
8,2,7.01404,-0.0192744,0,66.0877,-0.0712607,0,0,0,0.249469
9,2,4.07604,0.0237772,0,111.924,-0.0309436,0,0,0,0.0627336
10,2,3.94196,-0.0479088,0,181.244,-0.0148228,0,0,0,0.316058
1,3,0.00226009,0.132558,0,-280.806,0.0804346,0,0,0,-0.00758751
2,3,1.5191,0.124702,0,-128.074,0.0281554,0,0,0,-0.302412
3,3,-0.775144,0.322145,0,-396.024,0.0465332,0,0,0,0.348083
4,3,0.0210494,0.270627,0,-42.8969,-0.0313886,0,0,0,-0.0568482
5,3,-0.760914,0.533275,0,-154.487,-0.0245764,0,0,0,0.668812
6,3,1.19913,-0.0314318,0,-376.03,-0.0578464,0,0,0,-0.174988
7,3,-1.17879,0.0573033,0,-403.855,0.011755,0,0,0,0.675304
8,3,0.183986,0.34231,0,-274.205,0.102476,0,0,0,-0.189895
9,3,-0.0438671,0.525725,0,-35.7618,-0.00107657,0,0,0,0.110601
10,3,-0.38915,0.218808,0,-378.914,-0.0288772,0,0,0,0.201621
1,4,5.35194,0.260503,0,235.448,-0.0223807,0,0,0,-0.715984
2,4,3.37714,0.292021,0,71.5114,-0.0581964,0,0,0,-0.683343
3,4,5.29442,0.191706,0,32.0295,0.119248,0,0,0,-0.662093
4,4,4.40912,0.298106,0,308.047,-0.0466892,0,0,0,-0.660665
5,4,2.95523,0.264811,0,52.3564,-0.0242499,0,0,0,-0.641931
6,4,6.15349,0.262951,0,221.784,0.0528409,0,0,0,-0.806801
7,4,11.1021,0.261299,0,305.06,-0.0670791,0,0,0,-0.713452
8,4,2.78731,0.279045,0,30.6901,0.0135598,0,0,0,-0.68919
9,4,8.48914,0.292596,0,61.7011,0.00216771,0,0,0,-0.842006
10,4,3.86836,0.226718,0,42.1517,0.0152293,0,0,0,-0.74547
