rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,16.893,0.515511,0,0,0.0732885,0,0,0,-2.92121
2,1,10.9074,0.580822,0,0,0.0269393,0,0,0,-2.93254
3,1,5.9415,0.548509,0,0,-0.0274488,0,0,0,-2.93097
4,1,4.50534,0.493281,0,0,-0.0427251,0,0,0,-2.63348
5,1,13.1114,0.517207,0,0,-0.0482094,0,0,0,-2.76429
6,1,9.89209,0.571821,0,0,-0.0400813,0,0,0,-2.84818
7,1,9.20022,0.550093,0,0,-0.0310877,0,0,0,-2.81367
8,1,11.1425,0.588555,0,0,0.0291063,0,0,0,-3.07117
9,1,13.4167,0.54913,0,0,0.00662651,0,0,0,-2.83974
10,1,12.4539,0.518902,0,0,-0.0691861,0,0,0,-2.69435
1,2,16.8716,-0.514493,0,0,-0.0750323,0,0,0,8.52076
2,2,7.2073,-0.507498,0,0,0.053979,0,0,0,7.87388
3,2,5.06626,-0.48906,0,0,-0.0600087,0,0,0,4.71669
4,2,8.37958,-0.484445,0,0,-0.022041,0,0,0,3.15115
5,2,5.53385,-0.509451,0,0,-0.0364705,0,0,0,5.30484
6,2,18.2337,-0.485321,0,0,0.063849,0,0,0,4.41307
7,2,6.97065,-0.469206,0,0,-0.05339,0,0,0,10.5462
8,2,3.4433,-0.497163,0,0,-0.0791037,0,0,0,4.47449
9,2,6.16088,-0.502247,0,0,0.00681485,0,0,0,7.4343
10,2,9.72907,-0.498005,0,0,0.0234145,0,0,0,3.4989
1,3,0.107655,-0.622689,0,0,-0.00489553,0,0,0,3.73241
2,3,3.96236,-0.698936,0,0,0.0528989,0,0,0,1.38811
3,3,15.6292,-0.768241,0,0,0.0543693,0,0,0,6.00238
4,3,5.67318,-0.763565,0,0,0.0190674,0,0,0,9.4831
5,3,7.48903,-0.573752,0,0,-0.0547589,0,0,0,0.127464
6,3,5.47921,-0.705284,0,0,0.0207366,0,0,0,1.16867
7,3,9.08034,-0.597371,0,0,0.046633,0,0,0,0.535363
8,3,0.122732,-0.610751,0,0,0.0977045,0,0,0,3.42965
9,3,13.4777,-0.631535,0,0,0.0249339,0,0,0,0.795844
10,3,14.7426,-0.600857,0,0,0.0397891,0,0,0,0.462225
1,4,2.91845,0.577992,0,0,0.00206031,0,0,0,-4.78853
2,4,11.4764,0.574811,0,0,0.00669805,0,0,0,-12.8806
3,4,7.2303,0.587025,0,0,0.00921,0,0,0,-4.92185
4,4,5.84024,0.582162,0,0,0.102497,0,0,0,-8.06956
5,4,10.9659,0.537876,0,0,0.00331495,0,0,0,-7.26253
6,4,14.9772,0.588854,0,0,0.0204562,0,0,0,-6.13132
7,4,9.69395,0.607947,0,0,-0.0625478,0,0,0,-4.53002
8,4,5.47653,0.55016,0,0,-0.0628513,0,0,0,-4.24397
9,4,8.69852,0.658847,0,0,-0.0540215,0,0,0,-4.38149
10,4,6.33969,0.569421,0,0,0.0832845,0,0,0,-7.50706
