rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.000219036,0.248875,5,10,6898.05,1e-07,0.033,0.001,11.7808
2,1,7.74559e-05,0.244744,5,10,6888.09,1e-07,0.033,0.001,13.9292
3,1,0.00240287,0.221103,5,10,6923.06,1e-07,0.033,0.001,12.5214
4,1,0.000132361,0.253692,5,10,6886.25,1e-07,0.033,0.001,12.5506
5,1,4.63094e-05,0.274268,5,10,6908.74,1e-07,0.033,0.001,14
6,1,0.00548004,0.263021,5,10,6877,1e-07,0.033,0.001,9.08122
7,1,3.71306,0.219754,5,10,6912.73,1e-07,0.033,0.001,11.541
8,1,0.00103974,0.240623,5,10,6902.62,1e-07,0.033,0.001,10.5062
9,1,0.000140139,0.241888,5,10,6918.83,1e-07,0.033,0.001,12.6318
10,1,0.034012,0.269718,5,10,6901.22,1e-07,0.033,0.001,9.45912
1,2,0.0152744,0.449588,5,10,6917.39,1e-07,0.033,0.001,13.9961
2,2,0.0152845,0.452094,5,10,6887.77,1e-07,0.033,0.001,13.998
3,2,0.0325788,0.455311,5,10,6924.69,1e-07,0.033,0.001,13.9484
4,2,0.00142193,0.446974,5,10,6903.56,1e-07,0.033,0.001,13.9998
5,2,0.00359677,0.445965,5,10,6898.03,1e-07,0.033,0.001,13.9999
6,2,0.00527828,0.456853,5,10,6903.79,1e-07,0.033,0.001,14
7,2,1.71455,0.458194,5,10,6888.47,1e-07,0.033,0.001,13.9989
8,2,0.00186846,0.459645,5,10,6940.29,1e-07,0.033,0.001,13.9974
9,2,0.169791,0.451079,5,10,6891.81,1e-07,0.033,0.001,13.9999
10,2,0.00502503,0.450738,5,10,6929.16,1e-07,0.033,0.001,13.9997
1,3,0.000238411,0.309854,5,10,6910.07,1e-07,0.033,0.001,1.23932
2,3,0.000178733,0.309501,5,10,6896.08,1e-07,0.033,0.001,1.59936
3,3,0.000182607,0.313135,5,10,6902.34,1e-07,0.033,0.001,1.59559
4,3,0.000229845,0.312168,5,10,6907.37,1e-07,0.033,0.001,1.33694
5,3,0.000175616,0.306251,5,10,6888.07,1e-07,0.033,0.001,1.58559
6,3,0.000245301,0.307137,5,10,6905.09,1e-07,0.033,0.001,1.35203
7,3,0.00019398,0.316828,5,10,6869.79,1e-07,0.033,0.001,1.42213
8,3,0.000163096,0.319747,5,10,6912.06,1e-07,0.033,0.001,1.7371
9,3,0.000216346,0.317614,5,10,6929.56,1e-07,0.033,0.001,1.35864
10,3,0.000305447,0.309722,5,10,6904.59,1e-07,0.033,0.001,1.16688
