rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,1.49131,-0.278343,0,0,-0.00118051,0,0,0,-2.02677
2,1,0.451785,-0.295084,0,0,-0.00262565,0,0,0,1.58569
3,1,3.8865,-0.396668,0,0,0.00243858,0,0,0,-1.55976
4,1,0.987609,-0.259176,0,0,-0.00289237,0,0,0,-1.53743
5,1,-0.0625784,-0.18119,0,0,0.000367975,0,0,0,9.42476
6,1,4.71094,-0.223061,0,0,-0.00423717,0,0,0,-3.08297
7,1,11.2294,-0.402789,0,0,0.00094445,0,0,0,-2.14993
8,1,3.0488,-0.312064,0,0,-0.000518858,0,0,0,-2.59514
9,1,1.04471,-0.306821,0,0,0.00182685,0,0,0,-1.47333
10,1,6.53655,-0.197918,0,0,-0.000721743,0,0,0,-2.96226
1,2,5.73601,0.313036,0,0,0.00161923,0,0,0,4.49656
2,2,5.73667,0.318594,0,0,-0.00267279,0,0,0,5.16323
3,2,6.49349,0.325685,0,0,0.00267423,0,0,0,1.90405
4,2,3.36184,0.307204,0,0,-0.000382028,0,0,0,7.37443
5,2,4.28987,0.304945,0,0,-0.00118358,0,0,0,8.12933
6,2,4.67343,0.329065,0,0,-0.000348422,0,0,0,10.4671
7,2,10.4567,0.331998,0,0,-0.00257021,0,0,0,5.80137
8,2,3.63495,0.335159,0,0,0.00492454,0,0,0,4.87753
9,2,8.1444,0.316348,0,0,-0.00208577,0,0,0,7.81679
10,2,4.62426,0.31559,0,0,0.0033196,0,0,0,7.1552
1,3,1.57607,-0.0591941,0,0,0.000560143,0,0,0,-6.02862
2,3,1.28797,-0.060335,0,0,-0.00146684,0,0,0,-5.74478
3,3,1.30941,-0.0486605,0,0,-0.000558723,0,0,0,-5.74745
4,3,1.53948,-0.051753,0,0,0.000169187,0,0,0,-5.94507
5,3,1.27037,-0.0708895,0,0,-0.00262832,0,0,0,-5.75454
6,3,1.60456,-0.0680001,0,0,-0.000160604,0,0,0,-5.93264
7,3,1.36983,-0.0369363,0,0,-0.0052863,0,0,0,-5.8765
8,3,1.19641,-0.0277654,0,0,0.000848785,0,0,0,-5.65095
9,3,1.47896,-0.0344582,0,0,0.00337606,0,0,0,-5.92723
10,3,1.82385,-0.0596212,0,0,-0.000233865,0,0,0,-6.09456
