D_pop,1,-0.00658355,-0.00629485,-0.0224397,-0.0468011,0.0558795,-0.0124981,-0.00246521,0.123844,-0.123914
B_pop,-0.00658355,1,-0.0723206,-0.153905,0.00202128,-0.0983575,0.573056,-0.0782521,0.0274771,-0.0299524
Time0_pop,-0.00629485,-0.0723206,1,-0.0201369,-0.00103808,0.118421,-0.114898,0.4054,-0.00121619,0.00103134
omega_alpha,-0.0224397,-0.153905,-0.0201369,1,0.0237282,1.96936e-05,-0.0721925,-0.0131288,-0.0406671,0.0430089
omega_D,-0.0468011,0.00202128,-0.00103808,0.0237282,1,-0.114265,0.00536652,-0.00710863,-0.0870442,0.0903957
omega_C,0.0558795,-0.0983575,0.118421,1.96936e-05,-0.114265,1,-0.0923157,0.0940552,0.10951,-0.115077
omega_B,-0.0124981,0.573056,-0.114898,-0.0721925,0.00536652,-0.0923157,1,-0.1339,-0.0130238,0.0139948
omega_Time0,-0.00246521,-0.0782521,0.4054,-0.0131288,-0.00710863,0.0940552,-0.1339,1,0.00528739,-0.00587091
a,0.123844,0.0274771,-0.00121619,-0.0406671,-0.0870442,0.10951,-0.0130238,0.00528739,1,-0.982821
b,-0.123914,-0.0299524,0.00103134,0.0430089,0.0903957,-0.115077,0.0139948,-0.00587091,-0.982821,1
