rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0,0.963779,0,0,-0.0162904,0,0,0,0.0524495
2,1,0,1.38841,0,0,0.438835,0,0,0,-0.119705
3,1,0,0.94253,0,0,-0.0393693,0,0,0,0.0260236
4,1,0,0.766621,0,0,-0.19485,0,0,0,-0.070616
5,1,0,1.07465,0,0,0.0984267,0,0,0,0.0163354
6,1,0,0.797571,0,0,-0.163744,0,0,0,0.0547676
7,1,0,1.23447,0,0,0.267355,0,0,0,0.0272073
8,1,0,0.901853,0,0,-0.0694389,0,0,0,-0.0550422
9,1,0,0.681799,0,0,-0.272188,0,0,0,-0.108812
10,1,0,0.596304,0,0,-0.343458,0,0,0,-0.0443137
1,2,0,-0.675317,0,0,0.535898,0,0,0,0.178759
2,2,0,-0.674206,0,0,0.720994,0,0,0,0.00980299
3,2,0,-0.635743,0,0,0.202208,0,0,0,-0.0129192
4,2,0,-0.645091,0,0,0.265179,0,0,0,0.0341125
5,2,0,-0.686015,0,0,0.949797,0,0,0,0.0418225
6,2,0,-0.635611,0,0,0.258583,0,0,0,0.0518074
7,2,0,-0.648873,0,0,0.200924,0,0,0,0.0786961
8,2,0,-0.679061,0,0,0.543104,0,0,0,-0.0333234
9,2,0,-0.667038,0,0,1.16008,0,0,0,0.0437717
10,2,0,-0.639593,0,0,0.108906,0,0,0,-0.0210953
1,3,0,-0.977249,0,0,0.223904,0,0,0,0.120975
2,3,0,-0.793557,0,0,-0.702376,0,0,0,-0.0227022
3,3,0,-0.926722,0,0,-0.265742,0,0,0,0.0413375
4,3,0,-0.941495,0,0,0.831671,0,0,0,0.00718477
5,3,0,-0.972336,0,0,0.720385,0,0,0,-0.0534406
6,3,0,-0.743679,0,0,-0.823127,0,0,0,-0.00269377
7,3,0,-0.899773,0,0,-0.146332,0,0,0,-0.0127818
8,3,0,-0.919002,0,0,0.996401,0,0,0,-0.0276063
9,3,0,-0.671054,0,0,-0.809338,0,0,0,-0.0983455
10,3,0,-0.874738,0,0,0.0068149,0,0,0,0.0161076
1,4,0,0.905053,0,0,-0.0939266,0,0,0,0.0873335
2,4,0,0.497202,0,0,-0.466343,0,0,0,0.0259267
3,4,0,0.991616,0,0,-0.0112292,0,0,0,-0.0307329
4,4,0,1.3099,0,0,0.32861,0,0,0,0.0355999
5,4,0,1.11929,0,0,0.117256,0,0,0,-0.0748949
6,4,0,0.896595,0,0,-0.102252,0,0,0,0.0735483
7,4,0,1.52255,0,0,0.573392,0,0,0,-0.113461
8,4,0,0.773513,0,0,-0.22536,0,0,0,-0.0741424
9,4,0,0.945572,0,0,-0.056573,0,0,0,0.00621891
10,4,0,1.12402,0,0,0.121357,0,0,0,0.0482591
