D_pop,1,0.0995394,0.0428632,-0.0925976,-0.00322662,0.0200184,0.0720411,0.0615678,0.0626568,-0.0611734
B_pop,0.0995394,1,0.209401,-0.251736,-0.0757706,0.0316114,0.395553,0.359941,0.230221,-0.240023
Time0_pop,0.0428632,0.209401,1,-0.224288,0.0242061,-0.115834,0.227408,0.621418,0.153347,-0.169613
omega_alpha,-0.0925976,-0.251736,-0.224288,1,0.059103,-0.0623472,-0.0751257,-0.197693,-0.123128,0.130973
omega_D,-0.00322662,-0.0757706,0.0242061,0.059103,1,0.0397566,-0.0384892,-0.00880234,0.0144989,-0.0208498
omega_C,0.0200184,0.0316114,-0.115834,-0.0623472,0.0397566,1,-0.181937,-0.109627,-0.0486058,0.0464434
omega_B,0.0720411,0.395553,0.227408,-0.0751257,-0.0384892,-0.181937,1,0.260137,0.218401,-0.220345
omega_Time0,0.0615678,0.359941,0.621418,-0.197693,-0.00880234,-0.109627,0.260137,1,0.197501,-0.212171
a,0.0626568,0.230221,0.153347,-0.123128,0.0144989,-0.0486058,0.218401,0.197501,1,-0.944274
b,-0.0611734,-0.240023,-0.169613,0.130973,-0.0208498,0.0464434,-0.220345,-0.212171,-0.944274,1
