rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,13.1669,0.570245,5,15,9557.55,1e-07,0.033,0.001,8.25926
2,1,7.4765e-05,0.638558,5,15,9591.67,1e-07,0.033,0.001,11.6483
3,1,0.00027916,0.595645,5,15,10691.8,1e-07,0.033,0.001,8.86789
4,1,24.033,0.593058,5,15,10829,1e-07,0.033,0.001,7.68994
5,1,0.0139992,0.656616,5,15,9696.93,1e-07,0.033,0.001,7.85888
6,1,0.000185681,0.511298,5,15,10299.1,1e-07,0.033,0.001,9.20712
7,1,0.0237747,0.530621,5,15,11069.9,1e-07,0.033,0.001,9.1045
8,1,0.00022909,0.604811,5,15,10438.1,1e-07,0.033,0.001,8.93852
9,1,0.0112188,0.435337,5,15,9371.76,1e-07,0.033,0.001,9.65376
10,1,0.570843,0.554464,5,2.29361,9978.77,1e-07,0.033,0.001,11.1891
1,2,0.0470986,0.831918,5,15,10198.9,1e-07,0.033,0.001,9.0224
2,2,0.00623326,0.897049,5,15,9057.54,1e-07,0.033,0.001,8.97046
3,2,0.00260354,0.874922,5,15,9650.51,1e-07,0.033,0.001,9.40238
4,2,0.0447904,0.847165,5,12.5711,9439.14,1e-07,0.033,0.001,9.39984
5,2,201.144,0.951846,5,15,9869.6,1e-07,0.033,0.001,7.78098
6,2,0.0590381,0.887059,5,15,10838.1,1e-07,0.033,0.001,8.98806
7,2,60.7087,0.833346,5,15,9669.47,1e-07,0.033,0.001,9.28188
8,2,0.0548283,0.892027,5,15,9293.76,1e-07,0.033,0.001,8.88764
9,2,0.00290434,0.931269,5,15,9676.11,1e-07,0.033,0.001,8.26781
10,2,0.00253991,0.866847,5,15,9833.37,1e-07,0.033,0.001,9.10174
1,3,4.94115e-05,1.03829,5,1,10816.1,1e-07,0.033,0.001,8.02835
2,3,0.000225208,1.03016,5,1,10265.2,1e-07,0.033,0.001,7.00402
3,3,2.27094e-05,1.25503,5,1,10455.6,1e-07,0.033,0.001,9.20323
4,3,5.03487e-05,1.19201,5,1,9671.81,1e-07,0.033,0.001,7.85909
5,3,2.30349e-05,1.55006,5,1,9737.92,1e-07,0.033,0.001,10.1582
6,3,0.00016354,0.881248,5,1,9419.27,1e-07,0.033,0.001,7.44936
7,3,1.51671e-05,0.96302,5,1,10098.2,1e-07,0.033,0.001,10.1762
8,3,5.92586e-05,1.2806,5,1,11057.2,1e-07,0.033,0.001,7.39738
9,3,4.71841e-05,1.5384,5,1,9969.47,1e-07,0.033,0.001,8.42912
10,3,3.34073e-05,1.13182,5,1,9696.13,1e-07,0.033,0.001,8.73138
1,4,0.0104032,1.18,5,15,9759.33,1e-07,0.033,0.001,5.57676
2,4,0.00144385,1.21779,5,15,9415.97,1e-07,0.033,0.001,5.68663
3,4,0.0098216,1.10155,5,15,11244.2,1e-07,0.033,0.001,5.75852
4,4,0.00405232,1.22522,5,15,9524.95,1e-07,0.033,0.001,5.76336
5,4,0.000946866,1.1851,5,15,9741.1,1e-07,0.033,0.001,5.82698
6,4,0.0231886,1.1829,5,15,10521.8,1e-07,0.033,0.001,5.27507
7,4,3.26917,1.18094,5,15,9332.71,1e-07,0.033,0.001,5.58526
8,4,0.000800497,1.20209,5,15,10116.5,1e-07,0.033,0.001,5.6669
9,4,0.239682,1.21849,5,15,10001.9,1e-07,0.033,0.001,5.15986
10,4,0.00235968,1.1408,5,15,10133.4,1e-07,0.033,0.001,5.47814
