rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,5309.09,1.68451,5,10,6933.59,1e-07,0.033,0.001,2.14234
2,1,2.54618,1.70309,5,10,6933.12,1e-07,0.033,0.001,2.08128
3,1,0.0628713,1.65273,5,10,6932.63,1e-07,0.033,0.001,2.1677
4,1,0.00512333,1.61221,5,10,6933.19,1e-07,0.033,0.001,2.42449
5,1,86.1691,1.70823,5,10,6933.12,1e-07,0.033,0.001,2.0316
6,1,0.654811,1.64459,5,10,6933.15,1e-07,0.033,0.001,2.11944
7,1,0.0165046,1.65914,5,10,6933.35,1e-07,0.033,0.001,2.31557
8,1,0.0540054,1.70942,5,10,6933.1,1e-07,0.033,0.001,2.09664
9,1,0.00328584,1.75428,5,10,6933.86,1e-07,0.033,0.001,2.07352
10,1,90.2621,1.67384,5,10,6932.77,1e-07,0.033,0.001,1.98804
1,2,1.68094e+06,0.601033,5,10,6932.92,1e-07,0.033,0.001,13.9984
2,2,0.0385992,0.608467,5,10,6933.27,1e-07,0.033,0.001,13.9949
3,2,0.00238083,0.604721,5,10,6932.81,1e-07,0.033,0.001,13.9343
4,2,1.95613,0.62038,5,10,6933.14,1e-07,0.033,0.001,13.3717
5,2,0.00296588,0.639925,5,10,6933.01,1e-07,0.033,0.001,13.6012
6,2,261427,0.615123,5,10,6933.08,1e-07,0.033,0.001,13.9554
7,2,0.0429707,0.589255,5,10,6933.17,1e-07,0.033,0.001,13.9998
8,2,0.514512,0.611244,5,10,6932.64,1e-07,0.033,0.001,13.9793
9,2,5277.74,0.611197,5,10,6933.36,1e-07,0.033,0.001,13.999
10,2,1089.01,0.613543,5,10,6934.02,1e-07,0.033,0.001,13.7552
1,3,0.000140366,0.503932,5,10,6933.43,1e-07,0.033,0.001,13.4808
2,3,18.0808,0.587328,5,10,6933.54,1e-07,0.033,0.001,9.09167
3,3,24.6939,0.447115,5,10,6933.58,1e-07,0.033,0.001,13.7863
4,3,9.60176e-05,0.524179,5,10,6932.59,1e-07,0.033,0.001,13.9997
5,3,0.009385,0.533565,5,10,6932.91,1e-07,0.033,0.001,10.2606
6,3,0.328321,0.539969,5,10,6933.21,1e-07,0.033,0.001,10.8791
7,3,0.258513,0.540268,5,10,6933.23,1e-07,0.033,0.001,10.5307
8,3,208.529,0.586783,5,10,6932.87,1e-07,0.033,0.001,10.4234
9,3,4.13033,0.456217,5,10,6933.36,1e-07,0.033,0.001,13.9902
10,3,0.00369769,0.457384,5,10,6933.09,1e-07,0.033,0.001,13.6668
1,4,0.0515688,1.64942,5,10,6933.39,1e-07,0.033,0.001,0.86893
2,4,0.208896,1.83912,5,10,6933.3,1e-07,0.033,0.001,0.610841
3,4,0.0287649,1.62348,5,10,6933.16,1e-07,0.033,0.001,1.1671
4,4,0.0503512,1.78989,5,10,6933.91,1e-07,0.033,0.001,0.70976
5,4,31.6655,1.56488,5,10,6932.81,1e-07,0.033,0.001,1.15164
6,4,4312.11,1.94769,5,10,6932.97,1e-07,0.033,0.001,0.624635
7,4,1.20832,1.90938,5,10,6933.31,1e-07,0.033,0.001,0.813647
8,4,6646.13,1.69037,5,10,6933.4,1e-07,0.033,0.001,0.797592
9,4,0.00111054,1.80031,5,10,6933.05,1e-07,0.033,0.001,1.21629
10,4,0.000726077,1.71923,5,10,6933.55,1e-07,0.033,0.001,1.32656
