rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,15.3558,0.532981,0,0,0.132944,0,0,0,-3.11284
2,1,15.4755,0.608385,0,0,0.0284714,0,0,0,-2.92897
3,1,11.5094,0.570154,0,0,-0.0342411,0,0,0,-2.78523
4,1,6.32483,0.541485,0,0,-0.0697641,0,0,0,-2.75593
5,1,23.0973,0.573866,0,0,-0.0400639,0,0,0,-2.82674
6,1,8.54388,0.622772,0,0,-0.0811161,0,0,0,-2.79151
7,1,3.88987,0.564478,0,0,-0.0483888,0,0,0,-2.76044
8,1,8.70597,0.592325,0,0,-0.0736566,0,0,0,-2.69448
9,1,4.59424,0.493167,0,0,0.0066539,0,0,0,-2.67875
10,1,8.15369,0.532611,0,0,-0.0546134,0,0,0,-2.79931
1,2,19.0303,-0.438217,0,0,-0.105478,0,0,0,7.20822
2,2,8.51738,-0.486648,0,0,0.0499523,0,0,0,7.16032
3,2,7.72816,-0.49866,0,0,-0.0745578,0,0,0,5.05792
4,2,11.7196,-0.495691,0,0,0.0337059,0,0,0,5.07862
5,2,4.86332,-0.487309,0,0,-0.0177747,0,0,0,4.36731
6,2,17.2076,-0.486285,0,0,-0.031959,0,0,0,4.27643
7,2,4.02739,-0.465959,0,0,-0.0943109,0,0,0,11.3057
8,2,3.2522,-0.491877,0,0,-0.0541666,0,0,0,4.40338
9,2,5.52478,-0.482647,0,0,-0.00643736,0,0,0,8.05713
10,2,14.7982,-0.465984,0,0,0.0428734,0,0,0,2.89844
1,3,0.187521,-0.611409,0,0,0.0125335,0,0,0,1.97459
2,3,15.2282,-0.483368,0,0,0.0877307,0,0,0,-0.672883
3,3,7.31895,-0.810261,0,0,0.0747442,0,0,0,6.57883
4,3,16.9715,-0.74103,0,0,-0.0168668,0,0,0,9.25073
5,3,11.9509,-0.505998,0,0,-0.116078,0,0,0,-0.462816
6,3,5.18903,-0.78684,0,0,-0.0455333,0,0,0,2.31183
7,3,6.09099,-0.684285,0,0,0.0282109,0,0,0,1.39282
8,3,19.0636,-0.755682,0,0,0.0572871,0,0,0,3.83147
9,3,12.8901,-0.67573,0,0,0.0923217,0,0,0,0.754702
10,3,4.76012,-0.746213,0,0,0.0456796,0,0,0,6.01577
1,4,11.5148,0.621782,0,0,-0.00746998,0,0,0,-4.15617
2,4,14.7024,0.63049,0,0,0.110999,0,0,0,-8.6067
3,4,5.50884,0.596645,0,0,0.14465,0,0,0,-4.81125
4,4,4.74826,0.586924,0,0,0.0538067,0,0,0,-4.05362
5,4,14.8429,0.532213,0,0,-0.251889,0,0,0,-2.9706
6,4,15.8129,0.562222,0,0,0.0145303,0,0,0,-4.60709
7,4,8.7536,0.584907,0,0,-0.0787983,0,0,0,-3.70387
8,4,18.6953,0.571368,0,0,0.0414389,0,0,0,-4.34144
9,4,9.98988,0.622213,0,0,-0.0747755,0,0,0,-3.88302
10,4,5.39249,0.682766,0,0,0.0411768,0,0,0,-4.08405
